stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,56.44,8.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.31,0,0,20.58,0,0,0,0,0,0,0
 14-21,0,0.83,0,1.17,0,0,0,0,0,0,0,0,0,0,0,2.74,16.81,0,0,0,0,1.36,398.88,47.38,0,0,0
 24-34,0,0.65,0,1.29,2.44,0,0,0,0,0,0,0,0.96,0,0,13.66,36.2,0,0,0,1.09,0,148.28,37.12,5.39,8.59,0
 36-46,0,0,0,4.67,21.09,0,0,5.02,0,0,0,0,1.84,0,0,12.94,28.06,0,0,0,0,0,47.78,1.09,1.33,1.7,0
 48-58,0,0,0,10.98,12.83,0,0.88,1.69,0,0,0,6.39,1.1,0,0,6.18,23.56,0,0,0,0,0,37.43,0,5.89,0.77,0
 60-70,0,0,0.61,3.24,16.51,0,0,3.91,0,0,0,0,0,0,0,3.13,16.57,0,0,0,2.09,0,24.19,0,5.81,0,0
 72-82,0,0,0,20.28,23.53,0,0,14.34,0,0,0.53,0,2.83,0,0,4.64,8.15,0,0,1.13,2.4,0,17.62,0,2.88,0,3.15
 84-94,0,0,1.57,19.55,18.38,0,0,3.78,0,0.8,0,0,7.58,0,0,9.66,14.69,0,0,0,1.39,0,22.14,0,0,0,7.53
 96-106,0,0.63,6.77,27.82,34.4,0,0,38.41,0,0,2.57,1.03,22.03,0,1.7,8.27,35.58,0,0,0,0.64,0,34.53,0,2.21,0,0
108-118,0,1.97,0,10.42,26.96,3.7,0,44.39,0.52,0,1.07,0.42,10.59,0.54,0,17.44,9.16,0,1.5,0,1.05,0,28.35,0,2.32,0,0
120,0,1.1,0,15.46,18.76,2.43,0,15.47,0,0,0,0,17.91,0,0,15.84,11.22,0,0,0,0,0,16.91,0,0,0,0
