stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.37,142.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.72,239.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.68,0,0,0,12.41,0,8.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,21.12,0,0,71.96,0,0,0,0,0,15.04,0,0,0,0,0,0,0,0,0,0,0,475.12,18.6,0,0,158.79,0,0,11.11,0,0,0,0,0,0,0,0,0
 10-12,0,12.23,0,29.63,0,0,47.98,0,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,407.14,21.39,0,0,116.96,0,0,6.56,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.07,0,2.97,0,0,0,1.89,0,0,0,0,0,0,0,0,0,7.94,0,0,6.2,125.61,2.47,0.95,0,1.69,0,0,0.91,10.65,1.01,3.58,20.06,0,0,0,0,0
 24-34,0,0,0,0,4.42,0,25.07,0.91,0,0,4.32,0.63,0,2,0,0,0,0,0,0,30.75,0.63,0,5.09,315.15,1.55,10.12,0,0,0,0,0,0,0,0.9,44.1,0,0,0.77,0,6.28
 36-46,0,0,0,0,1.46,0,80.97,0,9.27,0,18.2,0,0,0,0,0,0,0.79,0,0,20.12,0,0,6.08,315.71,0,2.28,0,0,0,3.04,0,0,0,0,40.9,0,0,3.07,0,0
 48-58,0,0,0,0,6.25,0,142.9,0,0,0.98,28.46,2.4,0,0,0.42,0,0.92,0,0,0,21.72,0,0.39,6.83,350.18,0,5.24,0.97,0,0,4.3,0,0,0,0,64.22,0,0,2.56,0,0
 60-70,0,0,0,0,6.01,0,144.52,0,0,0,33.06,0,0,0,0,0,0,0,0,0,22.83,0,0,3.2,361.59,0,0,0,0,0.71,0.67,0,0,0,0,49.18,0,0,0,0,0
 72-82,0,0,0,0,3.01,0,85.52,0,0,0.7,38.59,0.99,0,3,0,0.52,0,0,0,5.13,43.37,0,4.9,0.72,308.1,0.58,6.33,0.89,0,0,4.84,0,0,0,0,21.89,0.5,0,2.17,2.37,4.1
 84-94,0,0,1.14,0,2.84,0.79,98.8,0,0,0,18.38,0,0,0,0.93,0,0,0.86,0.58,6.67,43.79,1.21,6.64,3.61,206.65,0,2.76,1.27,0,0.79,0.96,0,0,0,0,28.58,0,0,1.95,0.88,0
 96-106,0,0,0.91,0,3.42,7.92,96.71,0,0,2.62,24.54,2.17,0,0.73,3.86,0.69,0,0,0.7,0,34.41,0,0,4.13,171.21,0,0,0,0,0,3.19,0,0,0,0,5.28,0,1.24,10.65,0.8,0
108-118,0,0,0,0,4.25,0.75,65.61,0,0.63,1.79,36.92,0,0,0,0,0.56,1.47,0.53,1.35,0.53,72.51,1.22,3.61,5.41,259.09,0,0.57,0.44,0,0,1.11,0,0,0.61,0,10.94,0,0,3.19,2.5,0
120,0,0,0,0,4.46,0,33.93,0,14.97,3.67,36.5,0,0,0,1.72,0,14.9,0,3.27,0,28.94,0,0,8.77,270.93,0,4.64,0,0,0,4.65,0,0,0,0,20.29,0,0,10.14,0,0
