stage,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,paraxial_mesoderm,slow_muscle,somites,spinal_cord
  3-4,10.83,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,11.61,0,0,0
 10-12,0,0,0,0,0,9.47,0,0,0,0
 14-21,0,1.09,0.92,0,0,0,0,1.91,0,2.73
 24-34,0,0,0,0,0,6.27,0,0,0.78,0
 36-46,0,0,0,0,0,5.55,0,0,0,0
 48-58,0,0,0,2.12,0,10.98,0,0,0,0.84
 60-70,0,0,0,0.69,0.58,24.17,0,0,0,1.06
 72-82,0,0,0,0,3.51,6.43,0,0,0,0
 84-94,0,0,0,1.23,1.44,6.23,0,0,0,0
 96-106,0,0,0,0,0,5.69,0,0,0,0
108-118,0,0,0,0.65,2.46,2.79,0,0,0,0
120,0,0,0,0,0,2.64,0,0,0,0
