stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.11,0,20.74,3.2,0,0,0,0,0,2.96,0,1.95,0,0,1.15,0,0,0,0,7.21,0,6.19,434.72,277.99,0,0.86,1.85,0,2.86,9.27,0,0,13.84,242.26,0,0,0,0,0
 24-34,2.2,0,10.46,0.62,0,27.75,0,0.78,0,6.64,0.63,0,3.27,2.43,0,0,0,1.54,0,23.58,1.52,10.84,1667.27,16.27,9.4,17.71,0,0,1.47,0.71,0,1.14,2.4,545.7,0,0,3.58,0,0
 36-46,0,0,1.62,0,0,75.42,0,13.44,0,10.31,0,0,0,0,0,0,0.62,0,0,24.87,1.32,3.94,2820.64,11.67,3,1.39,0,0,14.36,0,3.56,0,0,765,0,0,6.54,0,1.52
 48-58,0,0,20.38,2.03,0,188.06,3.39,0,1.24,51.79,2.78,0.48,0,0.76,0,0,0.4,0,6.39,29.6,5.98,16.45,3111.98,2.93,3.95,6.54,0,0,13.68,0,0,0,0,641.27,0,0,6.53,0,9.2
 60-70,0.65,0.68,16.08,2.21,0,445.4,0,4.43,9.2,22.49,0.63,0,0,0,1.83,0.67,1.9,6.8,0,28.86,2.45,6.47,3319.42,0,0.99,7.69,0,0,10.02,0,1.95,0,0,499.24,0,0,2.62,0,2.91
 72-82,1.39,0.75,13.22,3.87,1.04,507.94,1.78,4.8,2.52,46.89,2.42,0,0,6.58,0,0.93,3.43,0.96,0,83.28,0.81,8.38,2949.88,2.81,5.95,19.9,0,0.72,16.41,0,0,0,0,281.99,1.21,3.54,1.64,3.62,7.32
 84-94,0.66,0,11.87,1.81,1.95,361.03,0,2.14,0,17.55,2.14,0,2.32,0.75,0.82,0,0.76,0.89,0,49.94,3.53,2.81,1785.68,3.29,3.87,20.91,0,0,11.05,0,0,0,0,175.31,0,1.91,14.86,2.93,8.16
 96-106,1.1,0,18.42,0,5.91,196.06,0,0,1.93,16.71,0,0,1.93,1.66,1.25,0,7.44,0.68,0,47.57,1.96,1.11,1357.52,0,5.67,37.74,0,0,25.02,0,0,0,0,92.03,0,0.78,0,1,1.13
108-118,0,0,15.15,2.92,1.94,208.76,0,0.42,0.72,34.12,2.56,0,0,1.42,0.7,0.41,2.55,3.73,0,38.25,0,2.54,1753.24,0,0,29,0,0,2.37,0,5.18,0,0,48.04,1.77,0,1.79,0,0
120,0,0,38.57,5.2,0,243.64,0,0,0,8.77,2.68,0,4.47,1.07,0,1.01,0,3.29,0,38.45,0,2.15,2819.99,2.01,0,33.16,0,0,3.17,0,1.58,0,0,113.35,0,2.12,0,0,0
