stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.81,20.45,3.86,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,1.68,147.51,108.03,0,18.25,0,3.34,0,0,0,1.01,73.63,0,0,1.06,0,0
 24-34,1.31,0,14.96,4.76,0,36,0,0,0,0,0.63,0,0,0,0.64,1.94,0,4.75,3.14,16.22,0,0,4.58,1887.94,22.22,16.36,46.05,0,6.12,0,4.33,0,0.98,349.84,0,0,36.86,0,1.75
 36-46,0,0,6.99,0.58,0,167.5,3.91,12.15,0.57,12.59,0,0,0,13.59,0,0,0,0,13.95,24.48,0,0,11.34,6195.79,28.68,41.03,13.7,0,8.5,0,21.37,0.79,0,854.29,0,0,15.66,0,7.09
 48-58,0,0,42.87,4.95,0,795.08,0.42,3.63,1.33,137.4,0.76,0.54,2.22,0.47,0.39,10.99,1.26,1.01,9.41,68.14,0,6.92,12.9,9273.01,15.77,14.8,33.52,0,29.96,0,4.08,0,0,1174.58,0,0.42,7.18,0,7.43
 60-70,0,0,35.82,0,0,1705.72,1.44,8.55,1.38,275.12,6.7,1.34,0,8.09,7.11,2.73,10.89,10.58,1.64,63.16,4.99,3.96,4.29,13127.31,23.57,23.85,55.19,1.19,25.6,0,2.87,3.67,0,1288.75,0,0,3.97,0,26.25
 72-82,6.8,0,15.07,9.01,0,1718,0,3.79,0.93,589.23,21.41,1.92,0,6.93,0.56,17.97,4.8,1.65,0,92.73,0,1.07,8.46,8382.14,2.96,8.32,48,5.55,15.02,1.65,0,0,0,885.34,0,3.37,6.07,0.79,38.55
 84-94,9.64,0,40.55,1.88,0.73,1367.3,0,1.88,8.01,524.13,41.57,0,0.7,0.6,0.94,0.67,0.65,2.93,10.93,101.09,0,5.64,2.31,5869.15,9.12,16.77,84.01,5.46,10.61,0,2.81,0.69,0,695.55,2.49,0.88,12.21,1.98,15.84
 96-106,13.32,0,16.37,30.06,0,919.16,4.66,3.15,1.64,810.27,46.6,0,0,5.93,0,2.3,0.63,14.67,0,86,0,2.51,11.76,3879.85,1.57,14.52,47.39,4.77,14.96,0,3.95,0,0,232.64,0,2.11,3.69,7.37,13.14
108-118,5.6,0,58.36,11.49,0,969.26,0.49,2.7,6.37,842.79,52.72,0,0,2.42,1.77,7.65,6.04,0.61,1.65,62.83,0,20.38,5.71,4858.16,2.47,13.26,70.11,13.67,6.78,0.79,1.39,1.55,0,257.4,4.12,1.46,13.94,2.2,1.18
120,10.47,0,95.25,6.86,3.69,1405.61,0,1.11,0,1723.74,115.46,0,1.17,18.45,1.06,6.42,3.78,0,0,139.29,1.49,15.76,5.45,9397.48,3.87,18.36,75.39,0,30.24,0,5.92,4.7,0,430.94,0,1.54,14.42,0,0
