stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,3.84,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,4.75,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.44,0,0,0,3,0,0,1.43,0,0.7,0,0
 36-46,0,0,0,0,0,0,0,0,0,10.06,0,0.57,0,6.09,0,0,0,0,0,0,0
 48-58,0,0,0,7.05,0,0.65,0,0,0,8.53,0,0.57,0.74,9.53,1.94,0,0.71,0,0.72,0,0
 60-70,3,0,0,2.3,0,1.08,0,0,0,20.04,0,0,0.79,1.11,0,0,16.79,0,0,0,0
 72-82,0,0,0,7.23,0.55,0,0,0,0,19.89,0,0,0,4.02,0.61,0,32.43,0,0,0,0
 84-94,7.95,0,0,0,4.36,2.34,0.96,1.27,0,24.69,0,0.61,0.76,20.87,3.53,0,40.83,0,0,0,0
 96-106,28.08,1.5,0,2.88,15.71,0,0,3.01,0,93.06,1.64,9.01,2.64,10.42,2.43,0,160.51,0,2.13,2.72,0
108-118,15.04,0,0.5,2.29,17.46,0,1.06,0,0.51,69.27,0.82,7.34,2.56,12.75,8.2,0,116.14,0,0.47,0,2.63
120,13.22,0,0,0,29.29,0,8.14,0,0,44.46,0,0,0,12.53,8.64,0,88.87,0,0,0,0
