stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.99,414.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.42,231.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.85,16.3,0,9.7,0,0,0,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.16,0,0,0,40.23,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.84,0,0,0,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.9,7.85,0,0,99.09,0,0,0,4.61,6.84,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,10.91,3.96,0,7.64,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,2.72,72.49,0,0,0,0,0,0,0,4.19,0,9,18.15,0,0,0,0,0
 24-34,0,0,0,1.35,2.67,0,0,18.74,0,0,1.23,0.91,0,0,0,0,0,0.66,0,13.03,0,0,4.53,143.4,2.67,0.77,0,0,0,2.14,0,0,0.7,1.96,26.29,0,0,2.83,0,0
 36-46,0,0,0,0,0.76,0,0,26.4,2.18,0.67,5.23,0,0.88,0,0,0,0.81,0,0.67,15.3,0,1.97,2.63,104.14,0.55,0,1.4,0,0,6.86,0,0,0.89,0,17.14,0,0.85,0,0,0
 48-58,0,0,0,0,3.85,0,0,36.84,0,0,9.52,0,0,0,0.39,0,0,0,0.6,12.55,0,0,1.94,74.24,0,0,0.66,0,0,0,0,0,0,0,12.39,0,0,0.53,0,0
 60-70,0,0,0,0,3.19,0,0,69.9,0,0.7,21.22,0.63,0.76,0.98,0,0,0,0,0,32.92,0,0,7.23,50.25,0,1.16,0,0,0,7.35,0,0,0.58,0,6.46,0,0,0.87,0,0
 72-82,0,0,0,0,2.17,0,0,43.63,0.73,0,11.1,0,0,1.26,0.64,4.27,0.57,0,0,41.27,0,1.54,2.42,55.73,0,1.14,2.35,0,0,5.66,0,0,0,0,7.6,0,0.75,0,0,0
 84-94,0,0,0,0,10.51,0,0.59,32,0,0.69,15,0,0,14.66,1.43,0,1.32,0,0,37.58,0,1.84,3.78,40.81,0.86,0.95,0.88,0,0,11.98,0,0,0.64,0,2.82,0,0,3.21,0,4.37
 96-106,0,0,1.19,0,16.68,0,1.05,51.98,1.66,0,18.33,4.08,0,3.22,1.91,0,0.58,0,3.66,54.59,1.07,1.36,0.81,80.94,0.79,4.68,7,0,0,30.15,0,0,0,0,12.07,0.59,0,1.14,1.58,6.82
108-118,0,0,0.57,0,6.15,6.02,1.65,53.2,1.14,0.7,29.02,1.71,0,4.08,0,0,0,1.37,4.36,48.21,0,0,6.05,59.51,1.12,6.8,2.8,0,1.58,14.89,0,0,0.42,0,1.5,2.48,0,5.29,0,10.79
120,0,0,3.99,0,11.91,1.88,1.71,17.64,4.17,0,37.12,1.26,0,6.22,0,1.11,1.12,4.16,0,46.51,0,0,0,116.96,3.19,0,0,0,0,17.78,0,0,0,0,4.78,0,0,10.05,0,0
