stage,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
 14-21,0,0.89,0,0,0,0.86,0,0,0.92,0,0,17.22,0.85,0,1.8,0,0,4.88,0
 24-34,1.2,0.71,0,0.65,0,0,0,0,4.12,0,1.24,6.16,0.97,0,0,8.57,0,5.87,0.6
 36-46,0,0.88,0,0,0,0,1.24,0,7.97,0,0,9.24,2.14,0,0,0,26.51,4.33,0
 48-58,0,7.44,0,0.65,0,0,1.54,0,0,0,1.1,10.49,0,0,0,0,6.22,0,0
 60-70,0,45.12,1.04,0,0,0,1.26,0,0.76,0.93,0,2.08,0,0,0,0,16.96,1.6,0
 72-82,2.36,41.61,0,1.91,0,0,4.04,0,2.34,0,0,16.73,0,0,0,0,8.18,2.86,0.67
 84-94,1.28,16.05,1.14,2.04,0,0,0.73,0.58,3.53,0,0,15.27,0,0,0,0,135.07,0,0
 96-106,0,67.32,0,0,0,0,4.8,0,3.29,0,0,8.41,0,0,0,3.79,33.46,0,0
108-118,3.13,56.08,0,0,13.83,0,5.75,0,1.73,0,0,11.96,4.5,1.79,0,0,143.85,0,0
120,0,59.9,0,16.91,0,0,8.19,1.08,5.4,0,0,8.54,18.47,0,0,0,81.34,0,0
