stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,18.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,3.81,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.09,0,0,8.8,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.91,2.88,0,0,0,0,6.18,4.33,0.85,0,0,0
 24-34,0,0,0,0,0.67,0,0,2.15,0,0,0,8.66,0,0,0,0,0,0,0.81,0,0,0
 36-46,0,0,0.6,0,0,0,0,4.76,0.6,0,4.49,4.88,0,0,0,0,0,0,0,0,0,0.96
 48-58,0,0,5.42,0.42,0,0.54,0,5.94,0,0,0,8.12,0,0,0,0.56,0,0,0,0,0,1.43
 60-70,0,10.35,0,0,0,0,0,25.56,0,0,0,26.09,0,0,0,0,0,0,0,0,0.82,0
 72-82,0,0,1.47,0,0,0,0,8.1,0,0,1.71,10.58,0,0,0,0,0,0,0,0.97,0,3.5
 84-94,0,0,1.62,0,0,0,0,14.66,2.13,0,0,7.08,1.1,2.77,0,0,0,0,0,0,0,0
 96-106,0,0.77,1.36,0,0,0,0,23.71,0,0.67,0.93,12.86,0,0.59,0,0,0,0,6.05,0,0,3.83
108-118,0,0.55,1.78,0,2.15,0,0.43,8.18,0,0,0,7.16,0,3.45,0,0,0,0,0,0,0,1.4
120,0,1.6,0,0,0,0,0,5.18,0,0,3.86,23.77,0,1.61,0,0,0,0,0,0,0,12.69
