stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.68,0,3.44,1.06,0,0,0,0,0.81,0.64,0,0,0,1.36,0,0,0,3.72,0,1.26,0,2.5,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,1.65,0,0,0,2.71,0,0,0
 48-58,0,0,4.14,0,0.46,0.8,0,0,0,0,0,0,0,6.72,0,4.53,0,0,0,8.38,0,0,0,3.56,0,1.69,0,0,4.79
 60-70,0,0,0,0,10.34,0,0.84,1.32,2.28,0,0.58,0,0,0,2.33,1.46,0,0,0,0,0,0,0,8.47,0,0,0,0,0
 72-82,0,0,1.23,2.7,0,0,0,0.63,0,0,0,0,0,0,0,0.97,0,0,0,2.15,0,0,0,0,0,0,0,0,0
 84-94,0.62,0,0,0.59,1.94,0,0,0,0,1.55,4.45,0,0,0.58,0,1.44,1.27,0,0,0.63,0,0,0,3.51,0.81,0,0,1.18,0
 96-106,0,0,2.18,4.2,0,0.56,0,0.59,0.79,0,0,0,0.58,0,0,1.88,3.81,0,0,0,0,0.61,0,0.95,0,0,0,0,0
108-118,0,0,2.14,2.06,7.36,0,0,0,0.62,0,0,0,0,1.89,0,6.34,0,0,0,0,0,1.6,0,5.94,0.45,0,7.75,0,0
120,0,7.45,0,0,3.22,0,0,0,3,0,0,0,0,0,0,21.82,0,10.49,5.17,1.79,2,0,3.65,11.96,0,0,0,0,0
