stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,13.17,0,9.81,5.21,0,0,0,0,0,8,0,0,4.14,139.75,0.99,0,2.22,1.97,3.32,16.12,0,5.77,34.95,0,0.82,0
 24-34,2.65,0,70.27,9.76,0,0,0,0.78,0,32.62,0.91,0,4,535.62,0,0.89,1.87,0,1.65,0,0.97,3.5,102.65,0,7.6,0
 36-46,10.37,6.25,172.59,6.6,2.36,0,0,0,1.82,24.07,0,0,5.86,428.24,0,1.13,0,0,3.71,0,0,0,62.11,0,3.35,1.54
 48-58,10.74,1.76,152.36,7.1,0,0,0,0,0.66,11.31,0,0.92,2.13,224.82,0,0,5.17,0,0.49,0,0,0,17.86,0,0.91,0
 60-70,2.92,0,152.3,5.17,0,0,0,0,0,32.04,0,3.33,2.94,114.07,0,0,6.45,0,0.57,0,0,0,14.63,0,0,0
 72-82,1.55,0.58,45.76,5.86,0,0,0,0,0,9.66,0,0.97,0,62.32,0,0.79,0,0,0.7,0,0,0,1.54,0,0,0
 84-94,1.53,0.56,33.84,9.76,0,0,1.17,0,3.68,8.15,0,0,2.64,34.84,0,0,0.92,0,0,0,0,0,14.54,1.17,0.78,0
 96-106,2.17,0,20.09,0.61,1.63,0,0,0,0,0,0,0,0,35.65,0,0,0,0,0,0,0,0,0.58,0,0,0
108-118,2.04,3.04,18.1,5.27,0,0,0,0,0,0.59,0,5.57,5.35,28.75,0,0,0,0,0.44,0,0,0,0,0,0.58,0
120,3.85,0,61.08,5.82,0,6.75,0,0,0,1.13,0,0,1.5,85.64,0,0,0,0,0,0,0,0,0,0,1.48,0
