stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,7.02,0,0,0,0,0.99,0,0,0.95,0,0,0,0,3.01,0,0,1.76,21.22,0,0,2.36,1.03,0,0,1.74,0,0,11,0,0,0,0
 24-34,0,4.23,0,6.16,0,0.67,3.74,0,0,0,0,0,0,0,4.57,0,0,5.55,49.69,1.41,4.64,2.73,0,0,2.21,0,0,1.3,14.2,0,0,1.93,0
 36-46,0,0,0,1.53,0.58,1.19,2.27,0,0,0,0,0,0,0,7.85,0,0,0,36.85,0.84,0,0,0,0,7.33,0,0,0,8.43,0,0,4.96,0
 48-58,0,1.05,0,8.5,1.82,0,4.92,5.14,0,0,0,0.43,0,0.56,8.86,0,0,0.98,27.16,0,0,0.84,0,0,3.65,0,0,0,10.49,0,0,3.5,5.57
 60-70,0,0,0,14.14,0,8.34,4.92,0,0,0,0.66,0,0,0,34.47,0,0,2.37,30.3,0,3.18,0,0,0,5.81,0,0.97,0,8.87,0,0.69,0.93,0
 72-82,0,2.43,3.44,2.86,0,2.02,5.15,0,0,0,0,0,0,0,16.76,0,0,0.61,11.76,0.58,0,0,0,0,1.59,0,0.57,0,1.81,0,0,0,0
 84-94,0,2.84,0,11.9,0,3.26,3.78,0,2.32,0,0,0,0.58,0,19.06,0,0,0,13.93,0,0,0.64,0,1.65,4.5,0,0,0,0,0,6.69,1.26,0
 96-106,0,3.22,0,18.5,0,3.05,0,0,0,0,0,0,0,0,23.58,0,0.93,3.62,26.63,0,1.63,2.65,0,0,0,0,0,0,0,0,0,2.23,0
108-118,1.21,0,0,6.13,0,2.34,3.02,0,0,0,0,0.87,0,2.47,7.42,0.6,0,2.06,15.83,0,0.72,0.5,0,0,1.03,0,0,0,2.49,0,0,0,0
120,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0,18.64,0,0,0,0,0,0,0,1.94,0,0,3.57,0,3.92,0
