stage,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0
  7-9,5.77,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.86,0,0,0,0,4.52,0,0,0,0,0,13.06,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.52,0,0,0,0,0,0,0.89,0,0,0,1.37,0,7.37,0
 24-34,0,0.68,0,0,1.83,0,0,0,0,0,0,3.01,1.04,1.16,0,0,5.33,14.48,0
 36-46,0,0,0,0,4.84,0,0,0,0,0,0,8.24,3.55,0,0,0,5.34,12.01,0
 48-58,0,0,0,1.83,8.73,0,0,0,0.4,0,0,2.88,5.01,0.63,0,0,0.49,20.6,0
 60-70,0,0,0,0,10.21,0,0,0,0,1.55,0,0,3.75,0,0,0,0,12.61,0
 72-82,0,0,3.99,0,1.49,0,0,0,0,0,0,0,2.68,0.86,0.95,0,3.15,1.65,0
 84-94,0,0,0,2.73,1.71,0,0,0,0.98,0,0.84,4.56,1.65,0,0.71,0,1.83,3.09,0
 96-106,0,0,0,2.29,7.77,0,1.64,1.34,1.2,1.61,0,4.98,4.11,0,0,0,0,0,2.23
108-118,0,0,0,1.84,0,0,0.86,0.47,0.52,2.39,0,8.33,2.58,1.79,0,0,0,3,0
120,0,0,0,4.28,3.81,0,5.92,0,1.74,0,0,7.23,2.34,0,1.1,0,5.62,1.75,0
