stage,glial,hatching_gland,neural,paraxial_mesoderm,spinal_cord
  7-9,0,0,8.26,7.81,0
 10-12,0,9.53,3.42,0,0
 14-21,0,0,0,1.12,0
 60-70,0,0,0,0,0.8
 72-82,2.37,0,0,0,0
