stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.65,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.55,5.47,0,0,20.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.3,108.04,0,8.14,0,7.13,0,3.28,0,0.81,0,0,0,0,0,3.1,0,0,1.71,43.07,2.85,1.54,5.27,0.86,0,0,0.94,0,56.13,0,0,0,0,0
 24-34,0,0,0,0.83,183.52,1.39,62.01,0,38.27,0,4.05,0,0,0,0,0,2.58,0,11.1,2.33,0,0.67,175.36,21.5,34.3,36.65,0,1.26,0,0,0.9,57.3,0,0,0,0,0
 36-46,0,0,0,0.63,136.51,0,70.22,0,49.06,0,9.52,0,0,0,13.23,0,0.66,0,2.69,0,0,1.09,295.2,28.32,37.88,30.97,0,2.51,0,0,0,42.11,0,0,6.66,0,0
 48-58,0,0,0,0.44,70.84,0,99.06,0.66,30.82,0,12.12,0,0,0,0,0.45,3.36,0,4.2,0,0,0.53,416.31,57.43,35.35,23.52,0,2.34,0.65,0,0,64.2,0,0,5.92,0,0
 60-70,0,0,0,0,89.78,0,122.36,0,30.55,0,13.14,0,0,0,0,0,0,0,13.63,0,0,0,617.53,51.98,13.2,32.19,0,0.62,0,0,0,98.27,2.18,0,17.77,0,0
 72-82,0,0,0.64,0,53.47,8.9,245.96,0,24.92,0,15.76,0,0,0,2.11,0,7.58,0,17.29,0,1.78,2.74,824.59,23.72,58.78,69.09,0,0,0,1.88,0,97.43,0.69,1.79,49.04,1.14,0
 84-94,0,0,0,0,127.17,0,215.14,0,37.8,0,31.4,8.75,0,0,0.83,0,9.77,0,20.77,1.54,0,1.59,517.42,49.34,40.92,73.31,0,2.13,0,2.26,0,46.18,4.18,4.61,28.46,1.34,0
 96-106,0,0,0,0,130.07,2.73,282.71,0,26.8,0,25.86,3.02,0,2.27,0.56,1.14,10.21,0,22.08,0,0,0,514.69,26.03,71.99,90.39,0,10,0,1.5,0,32.82,1.25,0.67,105.68,0,1.22
108-118,1.12,0,0.41,0,138.21,0,242,0,41.85,0.73,30.29,3.76,0.86,0.61,0.47,4.26,14.62,0.6,29.83,0.66,0,1.42,660.52,37.57,46.9,80.82,0,0.81,0,1.92,0,38.31,5.06,0.5,53.67,2.14,0
120,1.12,0,0,0,155.76,0,124.7,0,38.92,0,25.75,0,4.47,0,0,8.25,13.6,0,13.39,1.15,3.17,2.02,960.06,38.67,59.59,68.74,0,1.36,0,0,0,15.85,9.1,0,66.16,0,30
