stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.68,0,0,0,6.34,0,0,0,0,0,0,0,0,0,0,8.15,0,0,8.52,0,0,0,0,0,0,0,0,0,0
 10-12,8.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,10.04,0,0,0,0,0,0
 14-21,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,1.33,0,2.01,0,0,0,0,0
 24-34,0,0,0,1.08,0,0,1.8,0,0,0,0,0,0,0,0,0,0,20.01,0,0,0,0,0.81,0,0,9.38,0,0,2.71,0,0
 36-46,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,1.11,0,0,46.31,0.58,0,0,0,0,0,0,10.96,0,0,0,0,0
 48-58,0,0,0,0,0,0,61.19,0,0,0,0,0,0,0,0.5,0,0,92.12,0,2.07,0,0.73,1.04,0,0,12.73,0,0,0,0,0
 60-70,0,0,0,6.11,0,0,258.69,0,1.93,0,0,0,0,0,2.25,0,0,156.26,0,0,0,0,0,0,0,20.99,0,0,0.88,0,8.01
 72-82,0,0,0,0,1.33,0,457.22,0,8.46,0,0,0.5,0,0,6.21,0,0,190.68,10.82,0.91,0,0,0,0,0,30.99,0,0,1.74,0,0
 84-94,0,1.05,0,1.5,0,0,294.7,0,11.98,0,0,0,0,0,15.25,1.01,0,130.79,0,0,0,0,0.94,0,0,10.75,0,0,0.78,1.89,0
 96-106,0,0,0,1.49,0,1.05,720.05,0,17.71,0.96,1.77,0,8.78,0,4.12,0,0,136.88,0,0,0,0,0,0,0,0.73,0.66,1.15,0,0,0
108-118,0,0,0,6.33,0,1.67,613.76,0,6.78,0,0,0,0,0.59,11.38,0,0,209.69,0,0,0,0,0.88,0,0.52,12.11,2.12,0,0,7.28,0
120,0,0,0,8.81,4.22,0,501.64,2.03,9.96,0,0,0,0,0,2.31,9.18,2.55,248.16,0,0,0,0,4.04,0,0,12.27,0,0,0,0,0
