stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,17.84,368.82,0,0,0,0,0,0,0,0,0,0,0,0,0,29.25,0,0,0,0
  5-6,29.68,507.85,0,0,0,0,0,0,0,0,9.31,0,0,0,0,8.51,0,0,0,0
  7-9,0,0,16.44,0,7.8,0,11.61,0,0,0,257.02,9.67,0,70.08,0,0,0,0,0,0
 10-12,0,0,7.74,0,46.74,0,0,0,0,0,244.53,0,0,43.28,0,0,0,5.41,0,0
 14-21,0,0,0,3.9,0,0,0,0,0,0,10.45,0,0,0,0,0,0.88,1.9,1.23,0
 24-34,0,0,0,0,2.01,0,0,0,0.82,0,4.02,0,1.99,0,0,0,0,0.63,0.88,0.81
 36-46,0,0,0,0,6.47,0,0,0,2.21,0,12.42,0,0,0,0,0,0,0,1.32,0
 48-58,0,0,0,0,0.85,0,0,0,0.59,0.99,4.21,4.84,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.7,0.87,0,0,1.28,0,1.84,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,1.4,0,0,0,0,0
 84-94,0,0,0,0,3.33,0,0,0,0.88,0,1.26,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.11,2.67,0,1.87,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.76,0.68,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
