stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,0,5.9,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,4.69,0,0,0,0,0,0,0
 14-21,0,8.34,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.92,0.81,0,0,0,0,0,0,0,0,1.72,0,0,0,1,0,0,0,0.61,0,0.64,0,0,0
 36-46,0,1.75,0,0,0,0,0,0,0.72,0,0,0,0.61,0.65,0,0,0.65,0,0,0,0,2.79,0,0,0,0,0
 48-58,0,0.51,0,0.49,0,0,0,0,0,0,0,0,0,1.19,0,0,0.38,7.83,0,0,0,3.62,0.65,0,0,0.47,0
 60-70,0,0,0,0,0,0,0.56,0,0,0,0,0,0,5.58,0,1.6,0.87,1.81,2.01,0,0,0,0,0,0,0,0
 72-82,0,0.79,0.53,1.43,0,0,1.52,0,0,0,0,0.56,0.87,3.42,0,0,0.78,3.27,0,0,0,0,0,0,0,5.19,0
 84-94,0,2.59,0,2,0.56,1.19,1.33,0,0,0,0,0,1.53,5.65,0,0,0,0.75,0,0,0,4.6,0,5.38,0,0,0.77
 96-106,0,3.67,0,16.88,0,0,2.98,0,1.63,0.66,1.08,0,0,5.34,0.67,0,1.95,0,0.87,0,0,1.48,0,0,1.15,3.32,0
108-118,0,0.45,0.58,2.28,0.42,2.76,1.36,1.91,0,0.9,0.7,0.47,1.1,6.47,0,0.75,0,4.74,0,0,1.53,0.45,0,0,0,0.43,0
120,0,3.38,0,20.04,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,4.13,0,0,0,0,0
