stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0,0,5.8,0,0,0
 24-34,1.71,0.98,0.77,0,0,1.06,0,0,0,0,0,0,1.05,0,76.28,0,0,0,0,16.85,0,0,0
 36-46,0,0,18.41,0,0,6.38,0,0,0,0,0,0,8.47,0,157.88,0,0,0,0,36.62,0,0,0
 48-58,0,0,29.38,0,0,6.69,0,0.5,0.41,0,0,0.79,0,0,256.25,0,0,0,0,25.13,0,0,1.46
 60-70,0.7,0,80.18,0,0,13.09,0,0,0,0,0,0,6.39,0,463.14,0,0.87,0,0,53.04,0.84,0.6,0
 72-82,0.58,0,101.39,0,0,9.39,0.84,2.34,0,0,0,0,3.34,0,591.66,0,2.12,0,0.49,72.21,0.56,0.67,0
 84-94,0,0,94.33,0,0,12.51,0,2.12,0,0,0,0,6.1,0,323.96,0,1.16,0,0,17.35,0,0,0
 96-106,1.68,1.32,107.82,0,0,11.6,0,1.31,0,0.62,0,0,14.35,0.67,374.45,2.95,0,1.36,0,4.17,2.46,0,0
108-118,0,6.86,102.65,0,1.56,18.79,0,2.87,0.75,0,1.06,0,8.65,2.96,264.87,0.64,0.56,0,0,4.04,0,0,0
120,0,2.81,45.33,1.06,0,4.47,0,3.57,0,0,0,0,1.04,0,200.93,0,0,0,0,2.02,0,0,0
