stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.97,659.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,0,0,0,0,0,0,0,0,0,0
  5-6,15.5,608.56,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,7.54,0,0,0,0,0,0,0,0,0,0
  7-9,33.35,28.21,0,23.29,0,0,26,0,0,0,0,0,24.61,0,0,0,0,0,0,0,0,0,0,0,309.12,17.2,0,0,108.11,0,3.37,5.74,0,0,0,0,0,0,0,0,0
 10-12,0,28.84,0,60.57,0,13.78,33.6,0,0,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0,0,383.38,11.82,0,0,105.54,0,3.81,0,10.74,38.79,0,0,0,0,0,0,0
 14-21,0,0,0,3.83,24.49,3.15,5.51,0,0,0,1.13,2.74,1.82,0,0,3.52,0,0,0,5.23,9.92,0,0,9.12,106.67,10.95,1.37,2.47,6.78,0,8.89,0.9,13.98,1.69,8.28,27.31,0,0,5.89,0,0
 24-34,4.02,0,0,0,13.57,3.95,22.07,0,0.85,0.8,7.17,1.3,0,0,11.37,8.09,0,0.66,0,13.1,26.99,5.09,0,9.38,179.44,4.35,2.36,0.71,0,0,14.61,0,0,5.32,2.16,47.13,0,0,46.47,0,37.68
 36-46,0,0,0,0,14.49,1.54,20.16,0,0,1.21,9.9,0,0,2.87,19.9,3.5,3.2,1.27,0,9.35,27.19,0,3.66,8.11,189.28,1.28,9,0,0,0,11.28,0.73,0,0,0,31.41,0,0,26.05,0,21.44
 48-58,0,0,0,0,11.3,2.48,25.25,0,1.57,1.33,19.15,0,0,1.46,12.34,0.95,0.5,0.43,0.66,26.44,21.59,0,0.5,6.36,115.37,1.45,1.73,0.39,0,0.56,13,0,0,0.87,0,38.79,0,0,14.95,0,2.61
 60-70,0,0,0,0,21.74,5.5,74.2,1.8,9.49,0,3.68,0,0,0.7,12.35,1.18,4.46,0,0.87,3.13,64.98,0,0,2.65,87.55,0,1.1,0,0,1.42,6.12,0,0,0.59,0,27.57,0,0,12.16,0,17.9
 72-82,0,0,1.82,0,6.03,8.49,42.33,0,7.8,0.7,18.2,5.16,0,0,15.07,0.64,0.72,0,0,1.94,37.2,0.56,1.72,5.07,83.19,0,0.58,2.74,0,0,9.93,0,0,1.61,0,8.93,0,3.71,17.88,1.43,10.88
 84-94,0,0,0,0,17.7,12.26,31.88,0,1.92,1.82,20.33,3.34,0,1.83,14.39,1.51,2.86,1.52,0,35.05,53.44,2.96,1.54,0.84,86.8,0,1.83,2.22,0,0,26.22,0,0,0,0,5.97,0,0,46.8,0,2.92
 96-106,0,0,0.95,0,11.4,20.78,33.76,0,2.6,0.75,12.48,8.64,0,1.46,19.37,6.34,6.36,5.29,0,3.98,49.45,0,0.59,2.65,46.17,0.85,0,1.89,0,0,31.59,0,0,3.3,0,5.23,0.67,7.77,35.3,3.87,12.05
108-118,0,0,0,0,23.8,7.11,17.39,0,0,1.99,9.23,7.25,0,0.83,13.39,4.83,6.25,0.49,0.56,1.16,44.51,0,2.68,0,79.91,5.65,1.62,3.55,0,0,22.3,0,0,2.8,0,8.59,0.44,0,13.6,0,10.2
120,0,0,0,0,34.03,0,23.67,0,2.52,0,5.43,11.78,0,0,25.59,1.61,14.46,0,1.67,0,55.12,0,0,0,53.61,2.98,0,0,0,0,22.47,0,0,1.97,0,0,0,0,23.16,0,4.45
