stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,102.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.94,231.15,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,9.21,6.27,0,0,0,0,0,0,0
  7-9,3.5,8.24,3.32,0,0,14.16,0,0,0,12.5,0,0,0,0,161.36,15.72,0,0,42.88,0,0,0,0,0,0,0,0
 10-12,0,0,6.86,0,0,5.29,0,0,0,0,0,0,0,0,166.38,17.6,0,0,59.44,0,0,4.97,0,0,0,0,0
 14-21,0,0,0,2.12,2.14,2.76,0,2.27,0,3.58,0,0,2.08,0,30.45,0,0,0,2.09,0,2.71,0,0,5.24,7.08,0,0.96
 24-34,0,0,0,0,0,1.98,0.61,0,0,0,0,0,0.64,2.23,23.74,0,0,0,0,4.32,0,0.97,0,0,9.01,0,0.75
 36-46,0,0,0,0,0,2.57,0,0.8,0,0,1.56,0,3.74,0,10.32,0,0,0,0,0,0,0,0,0,4.36,0,0
 48-58,0,0,0,0,0,3.71,0.87,1.18,0,0,0,0.8,5.12,1.02,8.97,0,0,0,0,0,0,0,0,0,0.79,0,0
 60-70,0,0,0,0,0,13.23,1.2,0,0,0,0,0,1.69,0,7.67,0,0,0,0,1.28,0,0,0,0,0,0,5.67
 72-82,0,0,0,0,0,1.73,0,3.68,0.82,0,0,0,0.92,0,6.63,0,0,0,0,0,0,0,0,0,3.55,0.85,0
 84-94,0,0,0,0,0,8.87,0,3.07,0.9,0,0,0,0,1.02,2.9,0,0,0,0,2.48,0,0,0,0,0,0,0
 96-106,0,0,0,1.82,0,1.32,0,3.41,0,0,0,0,2.16,0,9.98,0,0.6,1.18,0,0.69,0,0,0,0,0,0,0
108-118,0,0,0,0.45,0,0.43,0,0,0,0,0,0,0,0,2.37,0.51,0,0,0,0.5,0,0,0.5,0,0,0,0
120,0,0,0,0,0,0,2.1,0,2.14,0,0,0,0,4.51,3.19,0,0,0,0,2.38,0,0,0,0,5.77,0,0
