stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.39,124.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,602.15,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,17.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.08,0,0,23.79,0,0,0,45.83,0,0,0,0,0,12.77,0,0,0,0,0,0,0,0,0,0,0,434.76,10.55,0,0,108.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.62,0,55.32,0,0,0,70.79,0,0,0,0,0,20.89,0,0,0,0,0,0,0,0,0,0,0,586.31,3.91,0,0,89.15,0,0,16.13,0,36.27,4.35,0,0,0,0,0,0
 14-21,0,0,0,2.77,27.09,5.1,0,5.69,0,0,0,1.08,2.92,0.98,0,0,0,0,0,0,0.86,10.65,0,0,7.69,120.53,0,0,2.06,0,0,3.45,2.06,32.68,1.14,28.23,43.87,0,0,0,0,0
 24-34,0,0,0,2.89,7.06,0,0,26.26,0,0,0,3.06,0.91,0,0,0,3.06,1.4,0,0,0,28.8,0,0,16.24,325.28,0.6,2.03,3.54,0,0,7.79,0,0,0.7,5.91,53.24,0,0,5.1,0,1.45
 36-46,0,0,0,0,1.17,0.6,0,62.19,0,3.4,0.72,6.58,0,0,0.57,0,0.56,0,0,0,0,30.01,0.56,0,7.26,270.67,0.56,2.43,2.32,0,0,11.28,0,1.82,3.76,0,38.58,0,0,4.22,0,0
 48-58,0,0,0,0,15.26,1.12,0,84.69,0,0,1.32,26.48,0.41,0.57,0,1.77,0,0,1.08,0,0,37.37,0,1.24,10.47,272.51,1.26,2.3,2.98,0,0,11.46,0,0,0,0,53.53,0,0.64,8.6,0.5,0
 60-70,0,0,0.57,0,1.36,0,0,100.93,5.04,0,5.11,27.55,2.59,0,1.5,4.63,0,0,2.1,1.35,0,35.15,0,9.46,3.41,185.36,0.66,6.37,1.81,0,0,7.66,0,0,0,0,35.22,0,0,1.68,0.89,0
 72-82,0,0,0,0,2.58,0.59,0,93.3,0,0,3.31,34.21,1.81,0,0,1.26,0.5,0,0.68,0,0.57,74.7,0.52,1.11,2.5,189.19,0,3.9,0,0,0,5.05,0,0,1.58,0,35.5,3.13,0.73,14.03,0.9,1.3
 84-94,0,0,0,0,5.35,1.67,1.17,54.47,0,0.56,9.04,6.25,3.88,0,2.81,2.75,1.43,0.74,0.73,0.86,0,65.5,0,2.86,6.56,149.11,0.62,2.84,3,0,7.18,13.51,0,0,0,0,32.65,0,4.56,8.77,0,0
 96-106,0,0,1.43,0,5.94,13.07,1.78,60.8,3.09,1.88,1.08,32.98,1.42,0,4.51,4.53,1.55,0,1.68,0.63,0,38.06,0,2.33,4.74,119.29,0,7.53,4.89,0,0,11.4,0.64,0,0,0,1.64,2.81,5.25,3.35,1.85,2.61
108-118,0,0,0,0.74,9.32,3.61,0.6,76.3,0.86,0.42,3.2,45.08,1.96,0,1.7,6.41,5.42,2.09,0.87,0,0.53,53.6,0,2.58,10.21,171.69,0.48,5.01,7.97,0,0.97,14.05,0.42,0,2.16,0,9.51,2.76,0.69,3.14,1.58,4.4
120,0,0,0,0,9.64,1.56,1.06,59.83,2.94,0,10.19,11.36,0,0,0,7.52,4.51,1.05,0,0,0,47.05,0,0,4.57,179.16,1.29,0,0,0,0,6.07,0,0,11.03,0,3.5,1.27,0,9.44,6.07,0
