stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,8.13,0,0,0,0,0,2.15,1.48,0,0,0,0,68.71,0.89,10.26,0,0,0,0.86,9.56,41,0,0
 24-34,4.23,0,4.25,0,0,0,2.33,0,0,0,0,0,590.93,0,10.56,0,0,0.62,0,0,162.47,0.93,0
 36-46,0,1.22,34.37,0,0,0,3.64,0,0,0,3.07,4.31,765.08,0,5.47,1.18,0,1.09,0,0,203.45,14.29,0
 48-58,0,0,35.57,0,0.5,0,7.92,0,0.43,0,1.15,2.47,280.04,0.4,3.28,0.69,0,0,0,0,130.97,0.45,0
 60-70,0,0,182.77,0,0,0,8.08,0.71,0,0,0.96,2.32,135.55,0,0,4.69,0,9.16,0,0,32.08,0,0
 72-82,0,1.63,240.36,0,0,0.69,2.69,0,0,0,4.39,1.96,81.43,0,1.09,0,0,1.05,0,0,11.05,0,0
 84-94,1.41,0,291.81,0,0,0,6.79,0,0.97,9.21,0.84,0,94.45,0,0.97,8.93,0,11.79,0,0,12.52,0,0
 96-106,0,0,171.07,0,0,0.84,5.27,0,0,0.7,2.1,0.72,53.08,0,0,3.45,0,12.29,0,0,5.05,0,0
108-118,0.87,0,92.38,0.64,0.5,0,3.05,0.67,0,0,1.79,1.55,73.83,0,1.13,4.59,1.49,12.68,0,0,0,0.94,2.52
120,2.17,0,102.73,0,1.12,0,12.1,0,3.07,0,8.01,1.08,104.15,0,2.92,0,0,2.93,0,0,5.28,13.33,0
