stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,31.45,299.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.34,0,0,0,0
  5-6,39.77,628.87,0,0,0,0,0,0,0,0,0,0,0,26.06,0,0,0,27.6,0,0,0,0
  7-9,4.9,0,0,30.54,0,0,0,14.8,0,0,0,0,0,162.24,6.61,0,80.42,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,0,0,19.57,0,0,0,0,0
 14-21,0,0,0,1.71,0,0,0,0,0,0,0,0,0,18.03,0,0,1.93,2.7,2.3,1,7.29,0
 24-34,0,0,1.96,1.38,0,0.89,0,0,0,0,0,4.64,0,23.84,0.71,0,0,0.98,0,0,5.78,0.65
 36-46,0,0,0,4.06,0,0,0,0,0.71,0,0,0.59,0,6.48,0,1.27,0,0,0,0,3.26,0
 48-58,0,0,0,5.83,0,0,0,0,0,0,1.24,1.58,0.7,5.72,0,0,0,1.28,0,0,0,0
 60-70,0,0,0,7.27,0,0,0,0,0,0,0,1.18,0.67,2.02,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.29,0,1.58,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,2.07,0,0,0,0,0,0
 96-106,0,0,0,0,0.76,0,0,0,0,0.8,0,0,0,1.01,0,0,0,0,0,0,0,0
108-118,0,0,0,3.87,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.1,0,0,0,0,0,0,1.88,0,0,0,3.93,0,0,0,0,0,0,0,0
