stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,1.11,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0
 36-46,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,7,0,0,0,0,40.32,0,0,0,0,0,63.2,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.01,2.76,0,0,13.54,0,0,4.87,3.82,409.41,0,0,0,12.38,0,14.08,0,7.8,0,2.44,1.38,131.57,0,0,1.06,2.01,3.01,0,0,4.15,0,0.66,0,3
 84-94,0,0,6.38,1.49,5.22,0,19.7,0,0,0,10.89,1217.98,0,0.71,0.8,0,0.62,1.71,0,13.62,0.78,0,1.84,51.34,0.79,0,0,0,1.39,0,11.92,0,2.14,0,0,0.8
 96-106,0,0,10.57,18.54,33.4,0,96.34,0,3,5.29,26.27,3560.46,3.56,6.57,0.66,0,2.12,89.05,0,58.39,0,7.03,9.7,574.54,0,0.66,0,0,36.71,5.77,11.94,4.07,1.93,5.2,7.96,1.13
108-118,0,0,14.05,8.18,6.74,2.22,72.78,1.23,2.6,0,28.32,5042.06,0,2.62,1.77,1.01,0,40.22,8.17,49.5,2.33,5.98,3.27,524.61,0,1.58,2.25,1.53,13.79,0.44,9.77,5.33,2.41,7.53,0,0
120,7.1,0,16.08,6.31,3.09,0,23.8,0,0,0,14.96,3022.19,0,0,0,0,0,67.91,0,14.54,1.47,0,1.12,545.47,8.41,0,2.92,24.78,18.09,0,2.14,0,1.52,13.33,0,0
