stage,blastomeres,eye,fast.muscle,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,taste
  5-6,7.92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.87,5.71,0,0,4.11,1.1,0
 24-34,0,0,0,0,0,1.87,0,0,0,1.35,0,0
 36-46,0,0,0,0,0,1.74,1,0,0,22.46,0,0
 48-58,0,0,0.48,0,0,4.29,1.08,0,0,7,0,0
 60-70,0,0,0,0,4.39,0,0,0,0,4.09,0,0
 72-82,0,0,0,0,0,0,4.56,0,0,3.65,0,0
 96-106,0,2.5,0,2.23,0,0,0,1.2,1.27,2.72,0,0.87
108-118,0,1.44,1.36,0,0,0,0,0,0,2.02,0,0
120,0,0,0,0,0,1.7,0,0,0,0,0,0
