stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,121.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.35,110.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,3.99,0,0,0,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.05,0,0,0,37.53,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.19,0,13.55,0,6.13,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.98,0,0,0,65.1,0,0,0,0,12.23,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,1.03,22.59,4.47,0,0.89,0,0,0,1.69,0,0,1.07,0,0,0,0,0,1.74,0,0,4.18,45.7,0.9,0,0,0,0,4.12,0.9,8.42,0,1.24,4,26.85,0,0,1.2,0,0
 24-34,0,0,1.26,0,7.93,0,0,13.79,0,0,0,0,0,0,0,0,0,3,0,0.69,26.16,0,0,3.83,961.81,0.75,48.95,3.54,0,0,7.39,0,0,0,0,1.29,223.42,0,0,20.55,0,0.69
 36-46,0,0,0.69,0,4.92,0,0,23.9,0,4.46,0.81,21.03,0,0,0,0,0.86,0,0,0,17.25,0,0,0.62,1637.06,0,35.57,4.67,0,0,4.17,0,0,0,0,0,283.74,0,0,17.82,0,5.61
 48-58,0,0,1.35,0,26.87,0.43,0,207.22,0,6.77,2.82,72.51,0,0,0,0,10.82,0.9,13.98,0,31.13,0,19.37,11.24,2616.14,0.66,35.83,12.69,0,0,20.26,0,0,2.28,0,0,281.84,0,0,44.38,0,6.07
 60-70,0,0,0,0,16.59,0,0,530.82,2.57,3.17,2.51,186.59,0,5.25,2.32,3.36,3.79,1.43,0.87,0,61.72,0,1.46,2.17,4348.85,0.63,49.65,9.44,0,0,14.92,0,0,0,2.3,0,479.01,0,0,38.06,0,0
 72-82,0,0,2.03,0,17.34,1.53,0,753.6,0,0,3.62,246.98,1.94,0,0.58,0,15.93,1.62,0,0,94.52,0,6.78,4.71,4338.23,0,48.7,10.83,0,0,6.76,0,0,0.73,0,0,259.25,8.7,0,57.2,0.53,5.69
 84-94,0,0,4.14,0,14.46,0,0,471.32,2.24,2.16,0,221.58,3.49,0,1.81,1.11,10.63,0.66,0,0,21.5,1.01,3.83,3.18,2650.65,0.65,20.29,16.67,0,0.6,13.85,0,0,0.74,0,0,176.66,4.86,2.12,86.73,0,2.9
 96-106,0,0,5.84,0,18.02,9.38,4.27,365.25,0,1.35,0.84,277.65,1.71,0,1.33,1.67,0.75,2.13,7.13,0,44.82,0,1.16,1.94,1982.74,0,34.73,17.39,0,1.28,16.41,3.82,0,0,0,0,48.42,1.96,3.85,59.76,0.69,10.12
108-118,0,0,18.73,0,25.99,2,0,655.77,0.56,0,1.69,368.08,9.91,0,2.95,1.01,3.12,4.64,3.67,0,31.15,0,9.16,4.6,3513.15,0.56,42.3,5.83,0,0,3.86,0,0,0.42,0,0,78.24,0.44,0,86.71,1.03,0
120,0,0,0,0,53.74,1.77,27.01,1369.95,0,4.2,0,1242.36,10.75,0,1.54,10.82,0,0,0,7.52,111.87,0,0,0,14908.52,0,148.17,10.01,0,7.36,17.1,0,0,1.04,0,0,464.08,2.25,0,210.3,0,0
