stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,89.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,273.72,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0
  7-9,0,12.69,0,0,0,15.38,0,0,0,0,0,0,117.31,3.96,0,32.39,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.95,0,0,0,0,0,0,73.77,0,0,9.02,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,2.28,0.85,0,0,0.96,0,1.16,26.56,0,0,0,0,1.89,0,0.8,7.14,1.09
 24-34,0,0,0,1.3,0,5.19,0,0,0,1.65,0,0,20.1,0,0,0,0.71,0,0,0,8.93,0
 36-46,0,0,0,0.69,0,1.45,1.31,0,0,1.96,0,0,14.67,0,0,0,0,0,0,0,1.2,0
 48-58,0,0,0,4.04,0,5.37,1.52,0,0,1.33,0,0,13.15,0,0,0,0,0,1.93,0,3.49,0
 60-70,0,0,0,0,0,9.46,4.08,0,0,1.5,0,1.02,12.54,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.95,0,0,0,2.88,0,0,1.4,0,0,0,0,0,0,0,0,1.19
 84-94,0,0,0,0,0,3.24,1.51,0.73,0,0,0,0,3.59,0,0.92,0,0.85,0,0,0,1.63,0
 96-106,0,0,0,0,0,0.77,1.33,0,3.15,5.3,0,0,6.91,0.62,0,0,0.67,0,0,0,0,0.8
108-118,0,0,0,0.58,0.5,2.42,0,0,0,0,0,0.8,16.58,0,0,0,0,0,0,0,0,0
120,0,0,0,21.14,0,0,0,0,0,1.37,15.97,0,29.47,0,0,0,0,0,0,0,0,3.67
