stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,77.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.67,37.66,38.88,0,0,58.59,0,0,26.99,0,0,0,0,0,694.55,15.24,0,258.78,0,0,0,0,0,0,0,0
 10-12,0,28.26,20.15,0,10.76,88.41,0,0,9.6,0,0,0,0,0,730.73,31.95,0,178.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.19,1.02,0.96,0,0,0,1.07,0,0,0.86,0,37.46,0,0,0,0,0,1.11,0.9,1.81,48.53,0,1.17
 24-34,0,0,0,0,0,2.47,3.5,0.73,0,0,0,0,1.71,1.53,62.06,0,0,0,0,0.9,0,0.84,0,107.7,0,0
 36-46,0,0,0,0,0,3.14,2.07,0,0,0,0,0,0,0,74.44,0,0,0,0,0,0,0,0,118.97,0,0
 48-58,0,0,0,0.7,0,10.25,0.67,0,0,0.55,0,0,0.81,0,112.32,0,0,0,0,0,0,0,0,57.82,0,1.03
 60-70,0,0,0,0,0,158.95,1.5,0,0,0,0,0,2.28,0,140.78,0,0,0,0,0,0,0,0,88.5,0,0
 72-82,0,0,0,0.61,0,191.12,5.45,0,0,0,0,0,4.55,0.54,90.83,0,0,0,0,0,0,0,0,20.08,0,1.54
 84-94,0,0,0,2.52,0,201.24,1.66,0,0,0,2.32,5.22,3.57,0,85.3,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,139.64,3.09,0,0,0,0,0,0,0,102.85,0.68,0,0,0,0,0,0,0,2.4,3.53,0
108-118,0,0,0,0,0,126.42,5.6,0,0,0,0,0,1.44,0,106.67,0,0,0,1.1,0,0,0,0,5.45,0.99,0
120,0,0,0,0,0,117.66,23.07,0,0,0,3.86,0,0,0,113.62,0,2.2,0,0,0,0,0,0,15.59,0,0
