stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.46,6.66,0,0,0,0,0,0,0,0,0,3.49,0,0,1.03,41.96,0,0,0.91,0,2.67,0,0.93,5.07,0,0,0,0,0
 24-34,0,0,0,0,0.78,0,0,0,1.48,0,0,0,3.64,0,0,0,202.03,0,0,0.63,0,2.68,0,1.81,21.14,0,0,0,0,0
 36-46,0,0,0,0,3.66,1.81,0,0,24.47,0,0,0,9.68,0,0,1.24,591.43,0,0,1.03,0,13.6,0,0,143.1,0,0,0,0,0
 48-58,0,0,0,0.65,1.83,0,1.23,0,41.05,0,0,0,17.35,0,0,0,231.17,0,0.89,1.44,0,9.68,0,0,57.42,0,0,1.49,0,0.53
 60-70,0,0,2.28,0,37.53,0,0,0.63,23.73,0,0,0,18.44,1.43,1.72,2.24,141.3,0,0,3.72,0,6.25,1.72,0,37.2,0,0,0.83,0,0
 72-82,0,0,0,0.58,15.01,0,0,0,13.41,4.12,0,1.69,28.7,0,4.32,0,68.31,0,0,0,0,3.21,0.73,0,13.81,0,1.74,2.66,2.22,0
 84-94,0,0,0,0,17.15,0,0,0,17.03,0,1.97,0,25.89,0,1.77,0,87.58,0,0,0,0,11.24,0,0,8.46,2.36,1.15,6.23,0,0
 96-106,0,0,2.58,0,27.47,0,0,0,12.48,3.34,0,0,24.67,0,0,0,31.31,0.73,0,6.36,1.36,2.41,0,0,15.06,0,0,1.79,0,0
108-118,0,0,0,0,24.14,0,0,0,13.2,0,0,0,25.47,0,0,2,89.81,0,4.93,0.47,0,4.35,0,0,6.61,0,0,0.71,1.86,0
120,0,0,1.95,0,35.9,0,0,0,22.47,0,0,0,13.49,0,0,0,79.34,0,0,1.86,0,0,0,0,0,0,0,0,2.97,0
