stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,205.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,198.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,4.44,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,97.81,0,0,17.08,0,0,0,0,0,0,0,0,0
 10-12,0,13.19,35.22,0,0,35.95,0,0,0,0,0,0,0,0,0,0,0,250.94,15.31,0,70.64,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,3.18,6.58,2.51,6.79,0,0,25.7,4.69,0,0,0,0,6.54,0,1.89,138.83,2.87,0,4.52,0,5.4,5.65,1.01,3.08,97.13,0,0,0
 24-34,0,0,0,0.77,0,4.28,0.86,0,21.35,0,0,0,1.38,0,10.7,0,10.72,117.59,5.18,1.25,0,0,0,1.41,0,0.67,62.57,0,3.72,0
 36-46,0,0,0,0,0,2.86,0,1.92,9.73,0,1.71,0.56,0,0,24.15,0.74,0.55,59.26,0,1.5,0,0,0,0,0,0,39.59,0,2.13,0
 48-58,0,0,0,0,0,1.31,0,0,6.29,0,0,0,0,0,13.32,0.94,1.81,15.87,0,0,0,0.64,0,0,0,0,7.41,0,0,0
 60-70,0,0,0,0,0,0,0,0,16.95,0,0,2.88,0,0,10.52,0,0,35.84,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.84,0,0,7.52,0,0,0.75,0,1.81,12.08,0.92,0,6.07,0,0.59,0,0,0,0,0,0,1.29,0.89,0,0
 84-94,0,0,0,0.63,0,2.61,0,1.77,10.21,0,0,0,0,0,14.64,2.08,0,0.56,0,1.49,0,0,0,0,0,0,10.34,0.58,0,0
 96-106,0,0,0,0,0,4.32,0,0,2.16,0,0,0,0,0,5.71,0,0,4.6,0,5.51,0,0,0,0,0,0,7.9,0,0,0
108-118,0,0,0,0,0,0,0,0,2.09,0,0,0.55,0,0,13.81,0,0.88,2.84,0,0,0,0,0,0,0,0,3.53,0,0.92,1.48
120,0,0,0,0,3.55,1.78,0,8.4,14.84,0,0,1.43,0,0,13.76,0,2.52,8.16,0,1.05,0,0,0,0,0,0,6.06,1.95,0,0
