stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,5.53,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,0,0,0,0,0,0
 14-21,0,0,2.16,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
 24-34,0,0,0,3.93,0,0,0.66,0,0,0,0,0,0,0,0,0,11.57,1.54,1.47,0,0,0,0
 36-46,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,131.08,1.98,0.82,0,2.42,0,0
 48-58,0,0,0,0.45,0,0,0,0,0,0,0,0.4,0,0.37,0,0,34.94,1.51,1.96,0,0.4,0.46,0
 60-70,0,0,0,0,0,3.15,0,0,0,0,0.78,2.66,0,0,1.01,0,35.26,0.84,5.01,0,0,0,1.22
 72-82,0,0.53,0,0,0,0.51,0,0.96,0.76,0,0,2.28,0,0,0.92,0,25.64,0,3.35,0,0,0,4.06
 84-94,0,0,0,2.1,0,0,0,0,2.35,1.81,0.57,0,0,0,0,0.66,12.16,3.58,7.9,0,0,0,25.19
 96-106,0,0,0,0,1.99,0,0,2.26,2.47,0,3.49,3.67,3.07,1.2,1.89,0.65,9.22,8.07,2.16,0,2.78,0,13.71
108-118,0,0,0,0.72,0,0,0,0,2.56,0,1.17,1.29,1.06,0,1.02,0,10.49,8.59,4,0,0,0,20.8
120,0,0,0,0,0,0,0,0,2.43,0,0,1.74,0,0,0,0,0,39.03,7.55,0,0,0,16.38
