stage,blastomeres,epidermis,eye,glial,melanocytes,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0
 24-34,0,0.92,0,0,0,0,0,0,0,0,0,1.22,0,0
 36-46,0,0,0,0,0,0,0,1.02,0,0,1.14,0,0,0
 48-58,0,0,0,0,0,0,0,1.07,0,0,0,0,0.54,0
 60-70,0,0,0,0,0,0,0.59,0,0,5.57,0,0,0,5.63
 72-82,0,0,0.6,0.78,0,0,0,0,0,0,0,2.74,0,0
 84-94,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,9.16,0,0,0,0,0,0
108-118,0,0,0,0,0.58,1.89,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.05,0,0,0,1.64
