stage,eye,fin_epithelia,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,1.07,0,0,0,0
 24-34,0,0,0,0,0,0,0,18.22,0,0,5.85,0
 36-46,0,0,2.89,0,0,0,0,34.27,0.79,0,10.71,0
 48-58,11.49,0,1.65,0,0,0,0.79,38.49,0,0,7.36,0
 60-70,12.22,0,6.54,0,4.26,0,0,50.09,0,0,14.27,0
 72-82,28.57,0,3.5,0,0.78,0,0,31.63,2.88,0,0.75,0.9
 84-94,9.54,0,1.86,0.56,0,0.98,0,30.77,0,0,2.12,0
 96-106,16.04,0.62,5.01,0.98,2.13,0,0,32.22,0,0.57,0,1.33
108-118,7.72,0,1.51,0,0,0,0,18.25,0,0.87,1.27,0
120,0,0,0,0,0,0,0,29.98,0,0,0,0
