stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,42.04,211.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0
  5-6,250.14,43.92,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,77.79,119.91,20.66,0,0,122.8,0,0,0,0,0,0,0,0,0,4074.87,2423.67,0,2030.13,0,7.27,0,0,0,0,0,0,0
 10-12,0,51.62,119.69,0,0,139.89,0,0,0,3.16,0,0,0,0,0,4282.87,580.35,0,3466.84,0,5.62,0,27.78,0,0,27.42,0,0
 14-21,0,0,0,379.52,5.62,1.25,0,14.93,23.32,0,0,0,13.57,1.53,0,131.25,49.55,0,83.87,0,0,3.52,0,0,4.33,820.32,0,0
 24-34,0,0,0,6.62,0.62,0.86,1.21,0,0,0,0,0,5.92,0,0,95.49,0.7,0,0,0,0,0,0,0,3.22,80.79,0,0
 36-46,0,0,0,2.15,0,4.52,0,0,0,0,0,0,3.82,0,0,182.96,0,0,0,0,0,0,0,0,0,32.27,0,0
 48-58,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0.42,121.67,0,0,0,0,0,0,0,0,0,72.21,0,0
 60-70,0,0,0,0,0,2.37,0,1.28,0,0,0,0,0,0,0,62.25,0,1.44,0,0,0,0,0,0,0,66.18,0,3.17
 72-82,0,0,0,0,0,6.62,0,0.8,0,0,0,0,1.03,0,0,32.68,0,1.3,0,0,0,0,0,0,0,36.33,0,0
 84-94,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,20.15,0,1.23,0,0,0,0,0,0,0,36.07,0.8,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,30.34,0,0,0,0,0,0,0,0,0,9.58,0,0
108-118,0,0,0,14.17,0,1.02,0,0,0,0,0.45,0.64,2.32,0,0.73,13.48,0,5.86,0,0,0,0,0,1,0,6.79,0,0
120,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,31.4,0,0,0,0,0,0,0,0,0,4.04,0,0
