stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.07,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.76,0,0,0,0,0,13.44,0,0,0,0,0,0,0,18.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.96,0,11.95,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,33.2,0,20.07,0,0,0,0,0,0,0,0
 14-21,0,0,6.74,0,0,0,0,0,0,1.09,0,0,1.87,0,0,50.37,0,2.33,67.07,0,0,0,0,2.33,0,0,0,0,0
 24-34,0,0,1.43,0,1.4,0,0,0,0,0,0.67,0,4.16,0,0,370,0.91,1.8,42.54,0,0,0,0,0,8.56,0,0,0,0
 36-46,0,0,1.47,0,0,0,0,0,0,0,0,0,16.4,0,0,432.97,0,12.58,25.7,0,0,0,0,0.74,5.66,0,0,0,0
 48-58,0,0,0,0,16.25,0.58,0,0.88,0.67,0,0,1.17,29.16,1.77,0,380.48,0,20.6,61.24,0,0,0.91,0,0,2.27,0,0,0.37,0
 60-70,0,0,0,0,0,0,1.01,0,0.88,0,0,0,89.33,0,0,382.14,0.98,7.74,19.55,0,0,6.14,0.8,0,0.83,0,0,0,0
 72-82,0,0,0,0,14.34,1.33,0,0,2.1,0,0,0,101.11,0,0,348.41,2.91,0.79,17.56,0,0,3.04,0,0,2.14,0,0.77,0,0
 84-94,0,0,0.59,0,15.37,0,0,0,0,0,0,0,107.38,0,0,282.68,0,0.56,21.02,0,0,9.41,0,0,6.17,0,1.26,0,8.08
 96-106,0,0,0,0,3.03,0,1.95,0,6.17,0,0,0,108.47,0.7,0,280.76,0,2.64,19.73,0.96,0,5.68,0,0.82,0,1.68,2.52,0,0
108-118,0,0,2.48,0,10.18,0,0,0,6.45,0,0,0,258.41,2.93,0.52,228.2,0,2.01,20.98,0,0,6.59,0,0,0,0,1.98,1.69,0
120,0,0,0,0,8.78,0,0,0,0,0,0,0,87.31,0,0,233.73,0,3.93,18.82,0,0,0,0,0,0,0,0,0,0
