stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,104.63,1423.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.27,0,0,0,0,0,0
  5-6,17.25,373.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,0,0,20.19,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,19.99,0,0,0,0,0,0,0,0
 10-12,0,0,56.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.46,0,0,0,0,0,7.91,0,0,0,0,0
 14-21,0,0,0,28.03,1.2,0,0,0,0,1.03,0,0.9,0,0,4.29,0,0,0,0,0,0.91,0,0,2.55,0,0,0,0,0,0
 24-34,0,0,0.93,14.13,0,1.63,2.2,0,0,0.63,0,0.79,0,0.68,1.12,0,0,1.3,9.66,6.67,1.68,0,0,25.37,0,0,0,0,1.49,0
 36-46,0,0,0,8.5,1.1,0,4.83,0,3.82,0.72,0,0,2.96,0,2.68,0,0.63,2.1,4.95,9.56,0,0,0,64.24,0,0.85,0,0,0,0
 48-58,0,0,0,7.52,0,0,2.19,0,0,0,0.6,0,2.19,0,3.32,0,0.77,2.22,6.92,2.35,2.47,0,0,30.25,0.62,0.8,0,0,0,0
 60-70,0,0,0,4.59,0,0,10.2,0,0,4.56,0,0,0.79,1.77,22,0,0,0,19.08,16.06,0.71,0,0,15.15,0.58,0,0,0,0,0
 72-82,0,0,0,5.45,0,0,1.89,0,0,0.93,0,1.17,0.69,2.44,11.93,4.45,0,2.3,10.68,3.22,2.93,0,1.03,13.06,0,0,0.56,1.37,0,1.65
 84-94,0,0,2.02,25.1,0,4.21,4.58,0.57,0.76,3.62,0,3.07,0.61,0,10.59,0.78,0,0,15.06,12.75,4.05,0,0,67.74,0,0,0,0,0,0
 96-106,0,0,0,10.5,0,4.74,3.49,0,1.56,2.79,0,0.78,0.94,5.4,7.97,0.81,0,0,7.07,2.09,2.91,0,0,48.15,0,0,0,0,3.26,0
108-118,0,0,0,34.22,0,0.6,14.6,0,0.45,1.59,0,1.9,0.62,2.37,26.02,0.47,0,0,6.9,8.7,9.92,0,1.6,24.94,0,0,0.42,0,0,0
120,0,0,0,20.41,0,0,2.75,0,9.52,3.79,0,0,0,2.12,16.81,0,0,0,17.95,0,6.49,0,0,16.25,0,0,0,0,0,0
