stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,liver,mesenchyme,mural.cell,neural,notochord,otic,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,4.09,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.87,0,0,0
 24-34,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,1.54,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,0,0.6,0,0
 48-58,0,0,0,0,0.38,0.55,0,0,0,0,0,0,5.08,0,42.67,0,0,0,0,2.88,0,0
 60-70,0,0,0,0,4.7,0,0,0,0,0,0,0,0,1.67,86.07,5.22,0,9.34,0,9.78,0,0
 72-82,0,0,0,4.35,28.96,0,0,0.73,0.65,0,0.58,0,4.19,16.45,157.08,0,0,0,0,2.1,0,1.58
 84-94,0,0,0.74,0,5.14,0,1.19,0,1.4,0,0,0,0.56,26.36,128.53,0,0,0,0,6.39,0,0
 96-106,0,0,0.85,0,11.74,0.92,0,0,0.7,0,0,9.42,2.08,27.11,134.67,0,0,0,0,0,0,0
108-118,0,0,0.93,0,1.4,0,0,0,0,0,0.73,0,0,44.15,172.51,0,0.78,0,0,0,6.6,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2,218.75,0,0,0,0,0,0,0
