stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.93,1.08,0,0,0,0,0,0,0,5.42,3.45,0,0,0,0,2.6,0,0,6.16,0,0,0,0,0,0,0,0,1.21,0,0,0,1.02,0,0
 24-34,0,0,6.69,0.87,0,0.72,0,0,0,1.62,0,5.3,9.67,0,0,0,0,26.78,0,0.89,13.49,23.41,0,0,0,0,30.5,0,0,0,0,0,0,1.82,0,0
 36-46,0,0,4.85,0.75,0,0,0.85,4.2,3.59,0.89,0,12.44,28.24,0,3.51,0.72,0,89.84,0,12.93,31.21,19.74,0,0,0,2.1,11.8,0,0,0,0,0,1.04,1.85,0,0
 48-58,0,0,14.19,0,0,2.26,0,2.11,13.36,8.93,0,11.83,41.6,0,0.79,0.51,0,117.35,0,19.76,30,45.74,6.92,0,0,0.56,20.69,0,1.48,0,11.99,0,0,5.02,0,0
 60-70,0,0,21.38,0,0,14.02,2.35,11.67,54.44,4.55,0,11.17,116.86,3.07,0.77,0,1.2,225.89,1.43,49.8,25.45,40.78,0,0,0,12.4,5.62,0,4.27,0,1.56,0,16.19,9.91,7.87,0
 72-82,2.47,0,12.46,4.74,0,20.2,0.6,3.95,55.44,39.19,6.97,25.25,59.41,0.56,13.21,0,0,524.58,0,124.33,61.68,34.84,0,0,1.86,24.65,0.96,1.33,0.53,0,11.66,7.15,17.89,33.79,41.65,0.67
 84-94,0,0,6.91,8.78,0,22.05,0,10.2,48.85,29.68,3.24,27.2,105.17,0,18.57,1.45,6.18,383.54,0,71.56,33.97,30.24,0,0,0.79,6.83,2.17,3.63,0.6,0,14.42,0,18.91,16.54,53.43,0
 96-106,0,0.97,15.9,9.55,1.07,51.16,3.3,0.82,57.13,34.31,8.25,34.06,86.3,0,34.16,2.57,7.43,638.14,0,46.27,58.15,143.08,2.93,0,0.95,106.82,0,4.79,0,0,6.58,0,16.52,28.37,56.04,0.86
108-118,0,0,14.94,8.09,2.48,48.94,4.15,9.26,90.29,92.29,27.54,59.53,123.39,0,40.26,0.43,1.97,982.64,3.08,94.64,91.65,119.76,1.2,2.17,4.38,96.57,0.56,3.54,0.5,0,5.03,1.68,17.23,32.93,69.27,15.61
120,0,0,19.82,1.16,0,27.68,4.76,7.07,69.45,187.55,13.58,29.98,225.35,0,31,0,15.06,1316.85,0,161.82,129.37,144.47,4.49,8.07,1.11,145.72,1.22,1.47,1.32,0,2.39,0,69.12,113.4,158.78,4.69
