stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,44.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.93,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0
  7-9,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,28.78,0,12.07,0,0,0,0,0,0
 10-12,0,24.76,0,0,0,0,0,0,0,0,0,0,0,0,39.47,0,14.04,0,0,0,0,0,0
 14-21,0,0,2.1,0.91,0,0,0,0,0,0,0,1.31,0,0,21.79,0,4.61,0,3.53,3.33,3.9,0,0
 24-34,0,0,0.86,0,0,0,0,0,0,0,0,0.97,0,2.08,3.77,0,0,2.07,0,0,3.73,0,0
 36-46,0,0,0,0,0.86,1.58,0,0,0,0,0,0,0,0,2.45,0.74,0,4.24,0,0,1.53,0,0
 48-58,0,0,0,0,2.5,0.9,0,0,0,0,0,0.88,0,0,4.94,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.55,1.04,0.75,0,1.01,0,0,0.64,0,0,0.89,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.07,0,0,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.86,0,0,0.64,0,0,0,0,0,1.99,0,0,1.47,0,0,1.2,0,0,0,0,1.69
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,3.59,0.69,0,2.7,0,0,0,0,1.6
108-118,0,0,0.73,0,5.11,2.55,0,0,0.66,0.98,0.47,1.83,5.93,0,5.6,0,0,0,0,0,0,2.33,1.3
120,0,0,0,0,2.98,0,0,4.26,0,0,0,3.62,0,4.72,0,0,0,1.65,0,0,0,0,0
