stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.45,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,4,0,0,0,4.82,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,15.81,0,0,0,0.95,0,1.88,4.92,15.79,0,0,0,0
 24-34,0,0,0,0,0,3.95,0,0,0,1.71,0,0,0,0,0,0,0,3.77,0,0,195.12,0.65,2.04,0,0,0,0,0,41.7,0,0,0.9,0
 36-46,0,0,0,1.5,0,16.9,1.29,0,0,0,0,0,0,25.72,0,0.99,0,0.69,1.42,0,379.06,0,0,0,0,0,0,0,75.34,0,0,0,0
 48-58,0,0,0,0,0,85.39,0,0,0,13.96,0,0.93,0,0,0,1.83,0,5.92,0,0,776.68,0,0,1.14,0,0,5.7,0,147.92,0,0,8.14,0
 60-70,0,0,7.36,0,0,235.9,0.85,0,0.86,15.21,0,0,0.6,0,0,0,0,10.42,0,1.9,1061.27,0,1.19,1.82,0,0,2.92,0,130.94,0,0,0,0
 72-82,0,0,3.21,5.31,0,286.58,0,5.41,1.86,39.18,2.6,0,0,0,0,0,0,13.26,0,0.73,862.51,0,4.47,0,0,0,3.18,0,83.22,0,0,0,14.64
 84-94,0,0,12.22,8.11,1.48,234.8,0,0.64,0,27.63,3.4,0,0,1.07,0,0,2.4,20.82,0.86,0,640.84,0.61,0,0,0,3.32,10.53,0,62.37,0.9,0,6.07,5.87
 96-106,0,0,9.87,29.08,0,178.69,0,0,0,17.58,0,0,2.35,0.56,0.64,0,1.54,15.58,1.14,1.81,602.79,0,0,0,0,0,5.6,0,22.64,0,0,0,2.89
108-118,0,0,6.67,0,0,275.11,0,0.74,2.55,13.09,0.54,0,0,0,1.45,0,0,9.75,0,0,674.75,0,3.22,0.42,0,0,2.84,0,20.96,0,0,1.6,0
120,0,0,14.51,0,0,279.93,0,4.2,5.18,45.98,0,0,1.28,0,0,0,0,28.02,13.12,0,977.52,0,2.4,0,0,0,0,0,61.79,0,7.86,4.29,0
