stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.07,10.6,86.55,29.34,0,60.12,0,0,0,16.05,6.38,1.79,1.3,0,4.38,0.87,0.92,2.07,1.83,46.27,0,0,40.55,646.88,22.27,5.3,9.59,21.83,0,3.15,105.26,13.4,4.28,139.05,165.87,0,0,3.31,0,0
 24-34,0.96,4.65,22.84,2.14,0,72.33,0,7.55,0,24.36,1.63,0,3.01,0,3.9,0,6.91,4.49,2.18,81.3,0,0.82,31.32,971.74,5.49,15.44,11.14,0,0,17.2,0.76,5.02,3.98,15.09,192.53,0,0,31.71,0,3.98
 36-46,0,0.93,24.18,1.86,0,163.01,2.83,5.05,6.08,53.89,0,1.6,0.56,5.6,1.63,0.61,1.27,0,0.7,110.42,0,1.84,13.13,947.13,4.38,8.27,4.43,5.14,1.69,27.91,0,8.87,0,0,192.7,0,0,18.1,0,8.93
 48-58,0,0,14.13,0,0,247.27,0.53,4.37,3.31,111.29,0.63,1.66,1.39,2.13,0.37,6.5,3.26,0,3.96,131.34,0.42,4.74,21.22,756.06,11.24,10.1,3.03,0,0.45,14.22,0,8.42,1.65,0,201.84,0,0,5.24,0,10.13
 60-70,0,0,13.42,1.51,0,446.19,0,7.55,5.86,85.46,0.64,0,8.85,7.1,0,0.6,1.35,1.92,3.9,185.63,5.09,4.53,20.84,599.64,0,4.18,9.91,0,1.08,10.66,0,12.46,0,0,114.94,0,0,3.4,0,8.65
 72-82,2.42,0,31.54,13.76,0,406.53,1.97,1.19,4.5,115.81,5.87,0,0,6.13,2.82,2.08,8.62,2.11,0.49,229.41,0,10.62,15.46,585.33,0,8.29,9.11,0,3.2,17.98,0,0,0,0,82.39,0.53,4.51,29.25,6.2,19.62
 84-94,0,0,20.84,21.91,0,226.27,0,2.5,5.26,77.95,9.88,0,0.97,6.37,2.36,2.75,8.81,1.55,15.51,169.37,1.78,0.83,4.37,276.2,6.55,3.96,12.4,0,2.22,55.38,0,5.83,5.42,0,72.93,4.72,1.68,16.06,5.27,3.22
 96-106,3.55,0,19.77,51.61,1.06,199.99,2.35,4.27,3.35,115.67,13.17,0,5.75,6.44,0,2.93,2.52,1.54,0,192.81,3.47,16.29,16.02,258.48,4.44,8.99,13.51,0,5.4,52.24,0,0.58,9.08,0,24.04,1.01,2.35,21.43,2.4,12.64
108-118,0,0,40.09,25.85,1.89,196.13,0.64,14.22,15.21,149.15,9.71,0,3.83,5.09,2.58,9.12,1.81,2.59,1.34,211.2,0,4.03,14.23,393.5,1.57,13.1,25.5,0,0,28.04,0,1.62,1.07,0,19.34,2.97,4.72,19.09,8.89,2.58
120,11.35,1.66,24.1,23.84,2.83,253.5,4.18,8.51,0,171.49,6.62,0,3,8.97,0,2.29,16.54,10.3,0,209.95,4.3,15.44,20.99,564.27,13.89,18.06,10.66,0,0,35.04,0,2.38,1.22,0,14.09,0,1.54,15.37,3.35,0
