stage,blastomeres,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal_cord
  3-4,196.59,0,0,0,0,0,0,0,0,0,0
  5-6,25.31,0,0,0,0,0,13.03,0,0,0,0
  7-9,0,0,4.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.4,8.78,0,0,0
 14-21,0,0,1.17,0,0,0,6.76,0,0,0,3.56
 24-34,0,0,0,0.63,0,0,1.45,0,0,0,0.88
 36-46,0,0,0,2.08,0.8,0.66,3.15,0,2.94,0,0
 48-58,0,0,0.89,0.72,0,0,0,0,0,0,0
 60-70,0,0,0.88,0,3.35,0,2.47,0,0,0,0
 72-82,0,0.83,0,0,0.67,0,0,0,0.79,0,1.47
 84-94,0,0,0,0,0,0,2.77,0,0,0.58,0
 96-106,0,0,0,0,14.2,0.66,0.56,0,1.76,2.27,0
108-118,0,0,0,0,0,0,2.48,0,0,0,0
120,0,0,0,0,2.6,0,6.59,0,0,0,0
