stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,otic,spinal.cord,xanthophores
  3-4,27.44,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.5,0,0,0,0
 14-21,0,0,0,0,0,0,0.97,0,0,0,0
 24-34,0,0,0,0,0,0,1.19,0,0,0,1
 36-46,0,0,0,0,0,13.31,1.09,0,0,0,0
 48-58,0,1.76,0,0,0,0,1.61,8.33,0,1.02,0
 60-70,0,0,0,0,0.6,0,0,6.42,0,10.83,0
 72-82,0,0,10.77,0,0,0.56,15.12,2.95,0,0,0
 84-94,0,0,0,2.78,0,0,1.1,0,1.42,0,0
108-118,0,0,11.2,0,0,0,3.49,7.15,0,0,0
120,0,0,0,18.28,0,0,0,0,0,0,0
