stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.51,71.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,5.44,0,0,10.06,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,45.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0,0,0,0.81,0,0,0,0,0,0,0,7.46,0,0,0,0,1.72,0.86,1.93,0,0,0,0,0
 24-34,0,0,0.63,0,1.15,0,0,0,0,0,0,0,0,0,0,32.93,0,0,0,5.61,0,0,6.5,0,0,3.25,0,0
 36-46,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,126.31,0,0,0,1.03,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,2.29,16.47,0,1.75,0,0,0,0,0,7.86,0,0,208.56,0,0,0,2.88,0,0,11.4,0,0,0,0,0
 60-70,0,0,0,0,72.21,0,0,0,0,0,0,0,6.77,0,0,347.6,0,0,0,1.39,0,0,14.61,0,0,0,0,0
 72-82,0,0,0,0,171.65,0,18.78,0,0,0,4.42,0,9.3,2.36,1.29,399.31,1.22,0.56,0,0,0,0,18.56,0,0.66,1.87,1.72,0
 84-94,0,0,1.64,0,191.5,0,23.64,0,0,0,0,0,12.51,0,2.01,311.92,0,0.69,0,0,0,0,27.32,0,0.63,3.11,0,0
 96-106,0,0,3.11,3.57,226.36,1.64,20.68,0,0,0,0,0,18.27,0,0,389.92,0,0,0,0,0,0,4.18,0,2.19,0,3.11,11.07
108-118,0,0,5.39,0,185.04,2.18,43.94,0,0,3.14,14.91,5.3,24.4,0,0.67,396.79,0,0,0,0,0,0,11.57,0.55,2.74,2.86,0,0
120,0,0,13.03,0,124.71,3.3,16.67,0,0,0,3.91,0,15.8,0,0,603.23,0,0,0,0,0,0,26.46,0,0,0,0,0
