stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,10.66,589.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.49,813.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.21,12.18,0,24.86,0,0,35.81,0,0,16.4,0,0,0,0,0,0,412.38,12.03,0,0,163.45,3.63,0,0,0,0,0,0,0
 10-12,0,0,0,20.59,0,0,16.02,0,0,0,0,0,0,0,0,0,244.48,0,0,0,174.27,0,0,58.27,0,0,0,0,0
 14-21,0,0,1.09,0,2.39,1.75,0.88,2.44,0,0,0,0,1.93,1.94,0,0.8,39.22,0.86,0,0,0,0,4,2.78,6.17,21.84,0,0,0
 24-34,0,0,0,0,0,0,2.36,0,0,0,0,0,0.77,0,0,2.96,68.77,3.42,0,0,0,0,0,0,0.62,33.32,0,1.82,0
 36-46,0,0,0,0,0,0,13.98,3.73,0,0,0,0,0,1.59,0.67,0,57.94,0,0,0,0,0,0,0,0,14.59,0,0,0
 48-58,0,0,0,0,0,1.63,14.01,2.38,0,0,0,0,0,0.87,0,0,56.54,0,0.47,0,0,0,0,0,0,8.1,0,1.65,0
 60-70,0,0,0,0,0,0,15.4,5.03,0.68,0,0,0,0,2.81,0,0,32.98,0,0,0,0,0,0,0,0,9.48,0.61,0,0
 72-82,0,0,0.69,0,5.12,0.81,15.04,2.05,0,0,0.6,3.14,0.73,1.78,2.91,0.84,22.72,0,2.93,0,0,0,0,0,0,2.95,0,0.66,0
 84-94,0,0,0,0,0,0,2.31,6.14,0,0,0,0,0,1.82,0,0.61,16.62,1.18,0,0,0,2.14,0,0,0,10.67,0,1.01,0
 96-106,0,0,0,0,0.9,1.27,2.86,0,4.05,0,0,1.49,0,4.53,0,0.61,8.28,0,0,0,0,0.88,0,0,0,3.08,0,0.57,1.12
108-118,0,0,0.71,0,1.7,0,6.45,5.5,4.72,0,0,1.4,0,1.86,0,0,26.85,0.77,0.59,2.59,0,0,0,0,0,0,0,0.54,0
120,0,0,0,0,3.18,0,3.36,14.9,0,0,0,0,0,1.7,0,0,19.41,0,0,0,0,0,0,2.39,0,0,0,0,0
