stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,120.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,339.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,22.36,0,13.71,0,0,21.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.65,0,0,0,84.79,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.14,0,11.96,0,0,106.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.54,25.43,0,0,178.06,0,0,0,4.19,27.61,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,0.96,14.6,75.35,8.05,0,0,0,4.7,2.32,3.22,0,0.83,0,0,0,0.86,38.12,0,0,15.56,345.5,1,3.43,1.73,2.08,0,0,1.23,15.67,0,24.65,52.49,139.69,0,0,1.04,0,0
 24-34,0,0,2.15,0,35.14,20.27,60.54,0,1.97,2.15,34.97,0,6.3,1.02,3.82,0.63,1.19,2.55,1.6,187.32,0,1.52,77.96,1452.27,1.53,6.22,9.58,0,0,0.88,0,0,0,19.89,53.37,289.48,0,0,24.24,0,5.43
 36-46,0,0,0,0,33.97,1.19,132.53,3.42,2.28,5.51,88.73,0.66,4.62,6.95,0,0,0,0,9.94,200.71,0,0,61.86,1970,1.52,1.89,21.89,0,0,0,0,0,0,7.24,7.43,388.53,0,1.23,17.95,0,2.25
 48-58,0.77,0,0,0,77.39,4.65,272.71,2.21,32.49,3.57,276.97,5.4,13.51,4.13,4.19,7.4,1.19,2.27,16.02,298.27,0.53,22.54,63.01,1888.26,0,1.94,2.57,0,1.04,0.38,0,0,0,2.06,0,462.77,0,1.52,22.56,0,9.4
 60-70,0,0,0,0,79.73,0.8,253.69,1.46,23.45,13.65,308.85,10.71,0.58,9.14,0,6.59,2.19,0,17.11,350.57,0,10.97,47.58,1742.88,7.37,0.81,11.34,0,7.31,4.03,0,0,4.15,0,0,303.42,0.77,8.27,37.93,1.68,9.77
 72-82,0,0,0.56,0,82.32,6.4,230.88,1.07,15.9,33.86,404.58,11.49,4.93,9.45,1.85,6.44,4.3,0,0,597.86,0.8,28.95,51.84,1648.98,0.73,1.27,4.64,0,0,0.98,1.65,0,1.23,0.53,0,203.18,1.85,15.13,68.3,14.19,2.1
 84-94,0,0,1.05,0,70.95,4,154.9,6.92,16.29,12.8,256.88,15,5.67,7.21,7.04,9.18,2.02,0,7.93,415.45,0,33.62,35.47,1024.41,2.02,0,2.54,0,0,3.23,0,0,0,1.21,0,120.4,8.24,12,38.55,10.13,0
 96-106,0,0,2.58,0,70.91,3.27,133.47,6.73,25.52,13.13,308.38,21.56,1.03,32.85,4.05,6.22,2.39,5.49,0,408.13,0,11.5,24.08,785.25,0.61,5.56,8.27,2.41,5.47,2.12,6.64,0,0,0.6,0,87.47,4.3,17.2,100.3,8.11,0
108-118,0,0,0.97,0,70.16,6.56,139.47,0,22.63,4.28,300.85,16.58,2.94,18.11,4.25,7.33,2.16,0,1.07,434.83,0.43,12.57,15.58,1028.23,0,4.69,4.53,0,14.35,1.55,0,0,0,1.03,0,49.09,2.52,3.26,47.28,8.87,8.34
120,0,0,0,0,120.02,0,96.67,1.06,8.27,13.71,365.07,11.56,4.26,39.88,5.21,3.94,1.69,0,0,388.88,0,24.74,35.71,1072.97,0,1.29,9.88,0,0,3.16,0,0,0,0,0,74.91,10.29,14.65,55.58,8.07,6.23
