stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,47.46,829.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.33,1280.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.64,0,0,0,0,25.69,0,0,0,0,0,0,0,0,0
  7-9,7.16,32.21,0,26.16,0,0,0,49.98,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,611.22,13.8,0,0,246.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.27,0,18.01,0,0,0,19.03,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,0,0,0,256.02,9.86,0,0,117.04,0,3.57,16.11,0,5.41,0,0,0,0,0
 14-21,0,0,0,6.62,83.07,8.55,0,8.56,0,0,0,2.85,1.9,1.95,2.46,0,0.89,0,0,0,0.98,21.75,0,0,11.39,194.74,3.23,0,7.92,4.48,2.78,45.01,4.03,4.43,45.88,69.3,0,2.11,0,0
 24-34,0,0,0,0,7.42,4.65,0,7.7,0,0.75,0,2.07,1.53,0,0,0.6,1.73,0,0.68,0,0,14.47,0.71,0,7.24,70.61,0,2.64,1.46,0,2.41,0,1.75,0,3.19,16.68,0,8.8,0,0
 36-46,0,0,0,0,9.36,0.89,0,25.8,0,2.42,0.78,1.57,0,0,0,0,0,0,0.56,0.67,0,15.4,0,0,9.96,111.36,0,6.62,2.06,0,13.31,0,3.89,0,0.83,13.77,0,0.91,0,0
 48-58,0,0,0,0,9.81,0,0,22.24,0,0,0,1.06,0.61,0.49,0,0,9.9,0,0.59,0.39,0,17.68,0,0,1.86,33.71,1.03,2.57,0.45,0,4.96,0,0,0,0,4.14,0,1.17,0,0
 60-70,0,0,0,0,20.68,0,0,24.33,0.68,2.21,0.83,4.07,0,0,0,0,0,0,0.7,0,1.24,36.53,0,1.44,2.25,35.95,5.17,0.84,2.99,0,8.68,0,0,0,0,2.86,0,0,0,0
 72-82,0,0,0.62,0,3.61,1.72,0,13.81,0,0,0,6.54,0.62,0,0.91,0.89,0.63,2.9,0,0,0,21.39,1.05,0,1.59,29.74,0,4.67,0.56,0,13,0,2.8,0,0,1.78,0.97,2.87,0,0
 84-94,0,0,0,0,11.84,5.81,0,9.2,0,2.82,0,2.72,1.86,0,2.61,0.69,0.6,2.72,0.63,10.97,0,24.79,2.46,0.56,3.15,22.27,0,7.97,3.72,0,13.34,0,0.6,0,0,1.05,1.17,0.78,0.72,1.5
 96-106,0,0,0,0,8.9,12.69,0,17.19,0,1.87,0,4.99,1.82,0,1.57,0,2.67,3.6,0,2,0,29.55,0,0,2.32,29.19,0,4.1,0.73,0,31,0,0.64,0,0,0,0.83,8.08,0,11.92
108-118,0,0,0,0,12.81,0.52,0,21.14,0,2.57,0,8.36,1.12,0,0,0,4.37,0.43,3.01,5.82,0,16.55,0,0,6,33.97,0.69,1.12,3.87,0,27.83,0,0.42,0,0,5.09,1.71,2.5,0,0.85
120,0,0,0,0,11.6,0,3.12,4.8,0,0,0,0,2.34,0,0,1.29,0,0,0,0,0,17.56,0,0,1.11,12.56,1.25,8.69,2.57,0,13.25,0,0,0,0,0,0,0,0,0
