stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.09,0,84.55,2.9,0,1.43,0,0.82,0,0.94,0,0,0,0,7.43,0,0,0,0,11.99,0,0,7.53,94.51,5.93,4.55,5.17,3.19,0,106.94,0,19.01,0,164.93,205.99,48.16,0,0,0,0,0
 24-34,0,1.41,61.54,0,0,7.35,0.95,2.08,0.69,30.06,0.61,0.76,1.01,0,10.81,0,0.66,0.66,3.52,54.85,0.63,0,37.06,545.87,5.51,43.66,6.52,0,0,48.38,0,0,1.45,32.53,46.98,141.59,0,0,1.32,0,0
 36-46,1.71,0,50.42,0.81,0,73.57,1.69,5.63,3.01,45.58,0,0,2.29,0,1.47,0,0,6.7,31.75,82.59,0,1.26,29.27,1837.19,5.84,66.78,2.02,0,0,20.48,0,0,1.6,27.93,0,296.85,0,5.7,2.15,0,11
 48-58,0,0,39.16,0.85,0,316.09,11.24,7.95,1.34,114.54,0.43,2.08,0,0,3.82,0,0.88,0,19.66,161.42,0.42,2.28,40.36,2424.47,16.41,26.91,1.28,0,0,8.23,0,0,0,12.69,0,349.52,0,1.02,3.23,0.78,50.18
 60-70,0.7,0,42.29,0,0,1407.54,11.27,9.89,1.68,419.52,0,0,1.36,0,0,13.93,0.64,0,44.41,508.31,2.67,0,23.59,3552.4,3.88,24.99,9.13,0,0,12.01,0,0,2.64,6.1,0,455.08,0,0.82,9.7,1.34,75
 72-82,0,0,40.27,1.36,0,1415.55,4.56,14.87,6.04,729.29,1.57,0,5.43,1.25,1.16,14.54,9.17,5.37,5.97,747.9,7.38,6.52,38.09,2647.11,0.73,46.17,28.34,2.25,1.93,4.99,0,0,0.97,9.73,0,325.68,1.74,10.1,6.07,7.29,51.31
 84-94,6.81,0,73.38,2.37,0,999.17,9.79,21.76,1.95,585.31,0,0,5.57,2.55,3.42,6.51,9.98,0,41.48,675.14,0,18.83,40.75,1587.54,0,13.97,11.98,0,0,14.8,0,0,0,7.56,0,170.26,3.74,10.71,3.77,8.14,67.81
 96-106,0.88,0,51.7,4.2,0.92,1028.96,9.93,5.53,15.23,614.12,0,0,4.6,2.47,2.1,5.18,13.77,0,26.58,449.94,0,5.62,29.09,1419.28,2.25,45.38,22.13,0,0,16.14,0,0,0,6.43,0,99.68,0.83,2.68,16.14,4.07,47.94
108-118,0.91,0,82.7,1.17,1.84,932.68,6.21,27.12,2.19,586.31,3.71,0,0.68,1.86,1.49,20.15,12.39,4.56,32.91,348.79,1.02,3.19,42.98,1777.58,0.52,19.93,27.7,0,0,13.21,0,0,3.38,6.23,0,65.8,2.18,9.64,5.68,3.42,34.08
120,0,0,67.71,10.6,1.79,535.51,18.68,17.52,1.26,490.59,6.68,0,0,11.1,0,37.76,6.75,0,28.01,464.65,0,2.18,96.04,1989.74,0,44.31,41.34,0,3.68,3.35,2.5,1.12,0,3.24,0,115,1.81,14.49,3.98,11.89,44.96
