stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,12.83,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0
 10-12,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0
 14-21,0,0,1.99,0,0,0,0,0,0,0,0,0,1.12,0,0,0,5.62,0,0,1.05,0,0
 24-34,0,0,0,0,0,0,0,0,1.68,0,0,0,1.34,0,3.25,0.78,16.69,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0.98,0,6.57,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,3.29,0,0.6,0,6.48,0,12.94,0,1.3,0.73,0,0
 60-70,0,0,0,0,0,5.35,0,0,0,0,0.57,0,0.75,0.82,0,0,17.3,0,0,0,0,17.81
 72-82,0,0,0,0,0,3.35,0,0,0.77,0.6,12.97,0,3.66,0,4.65,0,23.71,0,0,0,0,0
 84-94,0,0,0,0.58,0,1.24,1.36,0,0,0,16.71,0.56,3.73,0,1.08,0,17.93,0,0,0,0.59,0
 96-106,0,0,0,0,0,1.21,0,1.65,1.02,0,27.14,0.73,0,0,2.11,0,44.11,0,0,0,0,9.96
108-118,0,0,0,0,0,1.81,0,0,2.62,0,18.4,3.92,0,0,6.4,0,21.62,0,0,0,0,0
120,0,0,0,0,5.62,13.59,0,0,9.78,0,34.66,0,0,0,3.91,0,14.27,0,0,0,0,0
