stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,142.41,1425.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,721.43,6740.84,0,105.39,0,0,0,0,0,0,0,0,201.36,0,0,0,0,0,0,0,0,0,0,1752.18,0,0,0,215.75,0,6.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,555.17,488.48,0,2321.6,0,0,79.19,0,0,0,0,0,865.24,0,0,0,0,0,0,0,0,0,0,14130.24,1493.64,0,0,11511.77,0,5.76,12.44,0,9.82,0,0,0,0,0,0,0,0
 10-12,16.39,387.03,0,811.64,0,12.05,169.83,0,0,0,0,0,38.22,0,0,0,0,0,18.67,0,0,0,0,9781.2,901.58,0,0,7555.84,0,0,24.07,6.12,339.14,0,12.64,14.33,0,0,0,0,0
 14-21,0,0,0,2.05,59.63,21.22,47.34,0,1.71,0,34.73,4.19,0,0,0,0,0,0,0,0.86,181.13,0,160.67,1205.5,108.12,1.54,93.97,217.58,0,1.5,0,134.41,0.9,4.64,157.55,417.33,0,0,1.41,0,0
 24-34,0,0,0,0,14.8,2.54,35,0,4.5,0,27.09,0,0,0.69,1.72,0,0,1.56,0,0.87,101.76,0,64.17,1411.67,1.81,0.63,58.05,0,0,0,0,0,0.69,0,12.54,206.2,0,0,6.71,0,3.53
 36-46,0,0,0,0,3.62,0.69,32.9,0,3.33,0,27.01,0.56,0,0,0,0,0,0,0,0,78,0.8,11.21,939.9,0,0.99,20.84,0,4.12,3.27,0,0,0,0,0,92.89,0,0,0,0,40.5
 48-58,0,0,0,0,7.67,0.4,99.74,0,0,0,31.46,0,0,0,0,0,0,0.54,0,0,64.62,0,12.65,928.41,7,0,9.89,0,0,0,0,0,0,0,0,36.3,0,0,1.82,0,21.69
 60-70,0,0,0,0,16.52,4.83,105.42,0,0.74,0,38.22,0,0,0,0,0,0,0,0,0,69.02,0,1.31,1314.47,0,0,5.23,0,0,2.41,0,0,0,1.63,0,8.02,0,0,5.04,0,33.95
 72-82,0,0,0,0,6.44,0,120.62,0,2.85,3.76,41.83,0,0,5.97,0,0,0.93,0.95,0,0,68.19,7.8,4.95,1086.75,0,0,6.34,0,0,0,0,0,0,0,0,7.43,2.45,0.94,13.09,0,29.13
 84-94,0,0,1.65,0,9.45,0.65,140.42,0,0.7,0,31.98,1.09,0,0,0.74,0,7.61,0,0,0,42.61,3.4,3.82,933.22,0,0,8.2,0,0,1.95,0,0,0,1.27,0,17.51,2.84,0,1.42,5.53,8.08
 96-106,0,0,0,0,7.86,3.2,51.12,0,0,3.35,38.71,0,1.06,0.73,0,0.77,0,0,0,0,54.33,0,0.8,650.18,0,0,11.46,0,0,2.95,0,0,0,0,0,9.18,11.67,0.78,7.41,2.72,19.42
108-118,0,0,0,0,16.07,1.16,40.55,0,0,0,23.38,0,0,0.8,0,2.95,6.23,0,0,0,65.2,0,1.5,994.26,0,0.86,25.58,0,0,4.85,0,0,0,0,0,3.9,13.66,0,8.21,0,4.49
120,0,0,0,0,20.24,5.85,139.02,4.58,0,0,81.26,0,0,0,0,2.09,1.01,1.6,4.74,0,43.51,0,3.3,1279.44,0,0,22.41,0,0,0,0,0,0,0,0,4.39,36.46,0,1.55,0,0
