stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,26.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0
  5-6,16.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,5.75,0,0,4.81,0,0,0,0
 10-12,0,0,7.42,0,0,0,0,0,0,0,0,0,0,0,0,0,16.26,0,0,0,5.94,0,0,0,11.37,0,0,0
 14-21,0,0,1.03,0.83,3.37,0,0,0,0,0,0,0,0,0.99,0,0,32.01,0,0,0,0,0,0,0,6.42,0,0,0
 24-34,0,0,0.98,1.49,0,0,0.73,0,0,0,0,0,0.73,1.9,0,1.63,191.02,0.67,0,0,0,0,0,0,5.73,6.73,0,0
 36-46,0,0,0,5.89,0,0,1.15,1.39,0,0,0.76,0,0,0,0,0.62,339.7,0,0.56,0,0,0,2.9,0,9.87,12.3,0,0
 48-58,0,0,0.61,0.37,0,0,17.61,0,3.44,1.59,0,0,0,16.92,0,0,306.73,0,0,0,0,0,2.76,0,13.04,13.11,0,0
 60-70,0,0,0,0,0,0,1.92,0,5.12,24.95,0,0,0,21.92,0.66,0,246.73,0,0,0,0,0,0,0,11.41,2.58,0,0
 72-82,0,0,0,0,0,0,3.71,0,2.15,63.57,0,0,0,50.89,0,1.33,109.64,0,0,0.67,0,0,0,0,0.58,0.98,0,0
 84-94,0,0,0,6.19,0,0,11.76,0,0,104.99,0,0,0,23.73,0,3.82,79.92,0,0,0,0,0,0,0,1.63,5.83,0.9,0
 96-106,0,0,0,2.79,2.66,0,0.77,0,2.29,70.13,0,0,3.56,11.72,0,1.62,61.37,0.89,0,0,0,0,0.65,0,2.82,0,0,0
108-118,0,0,0,3.15,0,0.58,3.44,1.8,0,122.12,0,0.42,2.23,16.18,1.21,0.43,81.17,0,0,0,0,0,0,0,1.35,3.76,2.39,4.67
120,0,1.37,0,0,0,0,16.47,0,0,36.17,0,0,0,19.25,0,3.92,116.07,0,0,1.76,0,7.72,0,0,9.01,0,0,0
