stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.72,0,0,0,0.89,0,0,0,0,0,2.99,0,0,0,0,0,0,0
 24-34,0,0.66,1.51,0.68,0,0,0.92,0,0,0.84,0,8.74,0,0,0,0,0,159.22,0,0,0.77,21.18,0.95,0,0,0,0,0.7,0,2.31,0,0,0,0,0
 36-46,0,12.79,5.27,0,0,0,0,0,0,0,0,25.7,0,0,0,0,0,190.2,1.85,0,0,16.02,0,0.64,0,0,0,4.99,0,1.69,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0,104.52,0.46,0,0,25.14,0,0,0,0,0,35.69,0,6.23,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,1.9,0,0,0,3.06,5.48,0,0,0,0,0,123.46,0,0,0,16.45,0,0,0,0,0,29.3,0,0,0,0,0,0,0
 72-82,0,2.09,0,0.54,2.4,18.08,17.28,0,0,0.62,3.6,30.23,0,0,0,0,0.94,251.7,8.09,0,0.66,64.44,0,0,0,0,1.48,109,0,3.34,0,0,1.31,0,13.24
 84-94,0,3.1,0,0.94,5.85,24.71,30.2,0,0,0,6.89,81.61,0,0,0,0,0,1161.49,7.73,2.12,4.34,80.41,0,0,0,0,6.63,349.52,0,3.18,0,0,0,0,6.84
 96-106,0,12.64,0,7.68,19.99,68.84,97.11,0,2.24,1.49,15.58,381.43,0,2.63,0.86,0,2.21,2172.05,37,3.03,5.93,370.2,0.62,0,0,0,33.53,425.66,0,2.02,0,0.57,6.15,2.55,9.23
108-118,0,13.19,0,7.21,12.28,202.51,86.08,0,4.28,0,13.91,1023.39,0,7.85,2.85,1.72,0,5688.99,52.62,0,2.35,325.96,2.95,3.02,3.54,0.76,14.82,600.7,0.47,11.22,1.89,0,9.37,1.3,17.15
120,0,21.48,0,3.3,9.72,76.44,26.92,2.34,0,0,11.6,796.08,4.06,7.16,2.26,0,0,2061.24,19.96,0,5.08,278.41,0,0,0,0,10.24,379.77,0,0,0,0,19.01,8.85,0
