stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,32.38,842.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.19,0,0,0,0,0,0,0,0,0
  5-6,49.35,722.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,9.1,0,0,0,0,0,0,0,0,0
  7-9,7.58,27.99,0,13.73,0,0,0,56.74,0,0,0,0,33.95,0,0,0,0,0,0,0,0,0,0,550.53,6.09,0,0,120.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.07,0,6.19,0,11.01,0,29.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.18,4.42,0,0,143.4,0,0,4.36,0,0,4.93,0,0,0,0,0
 14-21,0,0,1.09,1.66,11.73,0.86,0,3.84,0,0,1.01,0,0,0,2.12,0,0,0,0,2.3,0,0,0,43.67,1.94,0.85,3,3.43,0,8.32,15.47,0,0.95,18.51,21.28,0,0,2.83,0
 24-34,0,0,0,0,5.95,1.18,0,1.01,0,0,1.08,0,0,0,2.7,0,0,2.03,0,6.28,0,0,1.6,28.51,1,0,0.9,0,0,4.2,0,0,0,2.03,4.64,0,0,0,0
 36-46,0,0,0,0,9.74,1.73,0,16.73,0,0,2.28,0,0,0,0,0,0,0,0.66,5.15,0,0.67,0.68,39.53,0,3,1.31,0,0,30.18,0,0,0,0,5.61,0,0,5.66,0
 48-58,0,0,0,0,3.82,0.88,0,11.89,0,0,0,0,0,0.47,0,5.18,1.79,1.34,0,8.22,0,0,0.38,48.53,0.39,2.65,1.36,0,0,25.36,0,0,0,0,1.71,0,0,0.93,0
 60-70,0,0,0,0,15.7,0,0,22.75,0,0.85,2.94,3.41,0,0.65,0.58,0,0.73,0,0,6.37,0,0,0.72,19.19,0,2.6,2.77,0,0,5.44,0,0,0,0,7.77,0,0,0.72,0
 72-82,0,0,0,0,5.14,0,0,7.84,0,0.7,0.64,0,0,0,0.75,0.54,1.62,0,0,14.34,0,1.53,1.57,27.93,0,1.88,3.41,0,0,11.91,0,8.06,0,0,3.32,0.79,0.52,1.46,6.27
 84-94,0,0,0,0,4.24,0,0,7.96,0,0,1.32,0.8,0,1.13,1.69,0,2.02,0,0,2.72,0.76,0,1.55,12.39,0,0,1.69,0,0.91,16.63,0,0,0,0,0,1.06,0,2.87,2.12
 96-106,0,0,0,0,6.19,2.02,0,2.88,0,0,2.91,0.72,0,0,0.64,0.74,0,0,0,4.23,0,0,0,5.63,0,1.4,0.79,0,0,14.19,0,0,0,0,1.81,0,0,0,0
108-118,0,0,0,0,14.19,4.99,1.65,2.14,0,0.79,1.12,0,0,1.29,0.96,0,0.6,0.47,0,3.97,3.35,0,1.64,13.92,0,5.3,1.34,0,0,3.1,0,0.42,0,0,0,0,0,0.88,0
120,0,0,0,0,5.42,1.39,0,12.87,2.6,0,0,4.01,0,0,0,0,0,0,0,10.94,2.91,0,2.62,0,0,0,0,0,0,9.42,0,0,0,0,0,1.19,0,0,0
