stage,gut,neural,olfactory,presomitic_mesoderm,spinal_cord
 14-21,0,3.81,0,1.95,0
 24-34,0,0,0,0,2.2
 72-82,0,0,10.24,0,0
108-118,0.75,0,12.16,0,0
