stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0
 10-12,5.97,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,0,0,0,0,0,0,0,1.2,0,0,0,0
 24-34,0,0,0,0,5.73,0,0,0,19.53,0,0,0,0,0,0,2.03,1.97,0,0,115.49,0,0,0,0,0,0,0,33.27,0,0,0,0
 36-46,0,6.44,0,0,81.18,0,0,0,62.54,0,0,0,0,0,0,2.69,0,0,0,351.4,0,0.6,0,0,0,0,0,73.23,0,0,0,0
 48-58,0,2.52,0,0,281.36,0,0,0,151.25,0,0,0,0,0,0,5.7,4.89,0,0.66,569.53,0,0,0,0,0,0,0,99.54,0,0,3.01,0
 60-70,0,1.21,0,0,884.8,0,0,0,186.98,0,0,0,0.66,0,0,3.86,0.84,0,0,889.73,0,0,0,0,0,0,0,114.93,0,0.69,1.37,0.73
 72-82,0,2.57,0,0,752.08,0.75,0,0,93.7,0,0,0.9,0,0,5.32,0,6.5,0,0.69,820.09,0,0,0.81,0,0,0,0,49.66,0.5,0.75,3.43,0
 84-94,0,4.33,0,0,592.92,0,3.69,1.1,117.26,0.72,0,0,0,0.69,0,26.42,9.98,4.57,0,664.94,0,0,1,0,0,1.7,0,87.44,0.66,1.23,2.98,2.8
 96-106,0,6.65,2.99,0,570.87,0,0,0,62.74,0,0.57,0,0,0,0,3.96,8.03,10,0,492.65,0,0,0,0,0,0,0,4.32,0.62,0,0,1.5
108-118,0,1.55,0,0.82,261.92,0.65,0,0,57.8,0,0,0,0,1.02,0,4.77,6.81,0,4.76,388.22,0.43,0,0,0,1.28,0,0,11.47,0,0,0,0
120,0,4.95,0,0,266.06,0,0,0,126.84,0,0,0,0,2.53,0,1.61,9.95,0,3.71,693.85,0,5.25,3.9,0,0,0,1.14,0,0,0,0,0
