stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature
  3-4,0,95.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0
  5-6,12.26,75.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.93,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,11.68,4.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.93,7.45,0,0,0,0,0
 14-21,0,0,0.9,0.96,0.99,0,0,0,0,0,0,0,0,1.26,0,3.2,3.15,0,0,0,0,2.89,0
 24-34,0,0,0,0.61,0,0,0,0.76,1.74,0,3.37,0,0,0,0,0.88,2.49,0,0,0,0.72,0,0
 36-46,0,0,0,0,0,2.23,0,0,0,0,2.47,0,1.07,0.8,0,0,2.54,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.64,0,0,2.07,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.19,0,1.28,0,0,10.58,0,8.44,0,0,2.33,0
 72-82,0,0,0,0,0,5.62,0,3.69,0,0,0.87,0,0,1.57,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.57,0,5.08,0,0,0.86,0,0,0,0,0,1.42
 96-106,0,0,0,1.1,0,0,0,2.48,2.5,0,0,0,0,1.12,1.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0.43,0,0,1.32,2.03,0.51,0,1.1,2.38,4.66,1.97,0,0,3.07,0,0,0,0,0,0
120,0,0,0,2.3,0,0,0,8.76,3.32,0,0,11.68,0,3.25,8.3,0,0,0,0,0,0,0,0
