stage,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
 10-12,0,0,0,0,0,0,0,0,8.31,87.6,0,0,4.8,0,27.47,0
 14-21,0,1.1,0,0,0,0,2.12,0,0,0,0,21.55,0,9.58,35.85,0.8
 24-34,0,2.66,0,0,0,0,0,2.51,0,0,0,0,0,0,0.99,0.92
 36-46,0,0,0,0,0,3.33,1.51,1.51,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0,1.13
 60-70,4.82,0,0,4.2,0,0,0,5.99,0,0,0,0,0,0,0,0
 72-82,0,1.35,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0
 84-94,0,0,0.81,0,0,1.65,0,0.99,0,0,0,0,0,0,0,0
 96-106,0,0.59,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0
108-118,7.54,0,0,0.55,1.06,0.78,0,5.51,0,0,0,0,0,0,0,0
120,0,4.52,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0
