stage,blastomeres,eye,iridophores,mesenchyme,neural,periderm
  3-4,13.45,0,0,0,0,12.98
  5-6,109.01,0,0,0,0,0
  7-9,5.64,0,0,0,14.08,0
 10-12,0,4.42,0,0,0,0
 60-70,0,0,0,0,2.01,0
 72-82,0,0,4.27,2.37,0,0
