stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.46,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,16.03,0,0,0,3.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,0,0,0,11.57,0,0,0,0,0,0,0,0
 14-21,0,0,4.91,2.02,0,0,0,1.14,0.82,0,0,0,0,0,0.99,0,0,0,10.49,0,0,0,0,7.26,1.25,3.86,0,4.12,3.13,0,0
 24-34,0,0,0,0,8.88,0,0,1.86,0,0,0,0,0,0,1.25,0,0,0,49.19,0.97,0.75,0,0,11.46,0,4.45,0,0,11.59,4.52,0
 36-46,0,0,0,0,1.56,1.14,0,1.19,0,0,1.05,0,0,0,1.63,0,0,5.61,24.64,0,0,0,0,11.41,0,0,0,0,1.33,1.89,0
 48-58,0,0,2.72,1.33,10.71,0,0,16.09,0,0,0,0,0.38,1.15,1.72,0,0.6,0.92,27.68,0,0,0.37,0,3.21,0,0,0.9,0,7.31,1.45,1.32
 60-70,0,0,5.38,0,6.91,0,0,9.27,0,0,0,0,0,0,7.98,0,0,0,17.41,0,0,0,0,8.65,0,0,0,0,0.69,1.92,1.17
 72-82,0,0,0,0,2.9,0,0,0.9,0,0,0,0,0.95,0,8.07,0.5,0,0,11.03,0,0,4.42,0,11.33,0,0.55,0,0,8.3,0.67,3.78
 84-94,0,0,7.03,0,16.57,0,0,1.79,0,0,0,1.03,1.43,0,3.78,0,0,0,13.05,3.01,0,1.3,0,14.04,0,0,0,0,2.02,4.5,0
 96-106,0,0,0.79,0,12.61,0,0,3.88,0.86,0,0,0,5.01,0,9.76,0,0,0,13.19,0,0,1.39,0,13.79,0,0,0,0,0,0,8.23
108-118,0,0,2.34,0,7.32,0,0.64,5,1.29,0,0,0.67,0,0,5.81,0,0,0,15.11,0,0,5.83,0,12.69,0,0,0,0,0,8.89,0
120,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,3.95,0,0,0,30.21,0,3.8,5.59,0,8.02,0,0,0,0,6.63,7.19,0
