stage,epidermis,erythrocytes,eye,fast_muscle,mesenchyme,neural,olfactory,periderm,vasculature
 36-46,0,0,0.59,0,1.99,0,0,0,0
 48-58,0,0,3.76,0,0,0,0,0,0
 60-70,0,0,63.08,0,0.62,2.79,0,0,0
 72-82,0,0,146.85,0,0,8.8,0.56,0,0.51
 84-94,0.72,0,125.11,0.56,0,1.87,0,0,0
 96-106,0,0,88.88,0,0,0.84,0,0,0
108-118,0,0,106.65,0,1.02,0.77,0,5.31,0
120,0,2.56,109.17,0,0,0,0,0,0
