stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,195.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,77.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.66,0,0,0,0,0,0,0,0,0,0,0,20.83,3.14,0,0,0,5.41,16.42,0,0,0,0,0,0,0
 14-21,0,0,0,23.32,3.07,0,1,2.03,0,2.67,0,0,0,0,3.28,0,0,0.93,3.43,3.02,0,0,3.92,8.3,10.75,0,0,0,8.83,0.88,4.17,5.46,0,0,1.21,0,0
 24-34,0,0,0,10.77,0.62,0,2.14,2.67,0.71,0,0,0,1.04,0.62,3.27,0,1.08,0,5.81,5.94,2.07,0.69,6.88,32.47,0.69,3.44,0,0,32.89,0,0.68,3.98,0,0,14.6,0,3.34
 36-46,0,0,0,4.56,0,0,4.76,1.39,4.02,14.01,0,0,0,0,3.71,0,0.61,0,0.61,17.86,6.38,0,2.56,52.85,2.27,2.46,0,0,54.88,0,0,11.94,0,0,3.84,0,0
 48-58,0,0,0,6.47,0,0,18.5,1.57,1.39,12.09,0,0,0.63,1.13,5.05,0,0,0,3.12,38.72,8.72,0,1.98,15.17,1.18,2,0.4,0,33.03,0,0,3.99,0,0,0.93,0,0.95
 60-70,0.81,0,0,3.97,1.15,0,14.55,3.44,1.71,19.85,0.85,0,0.93,1.23,0,0,0,0,0,42.11,1.64,0,1.13,18.62,0,1.56,1.03,1.19,17.61,0,0,7.18,0,1.2,9.35,0,7.08
 72-82,0,0,2.98,4.22,3.35,0,6.88,2.28,3.64,15.3,3.03,0,0.84,5.3,0,0,1.35,3.82,0,54.42,3.08,1.14,0,25.57,0,2.36,1.32,0,16.65,0,0,2.94,1.25,0.67,6.67,0,0.55
 84-94,0,0,0,21.76,1.43,0,12.62,3.62,8.09,39.91,9.35,0,0,5.41,2.51,0.82,1.2,0,0,50.92,11.34,0,1.13,34.59,0.72,4.89,4.65,0,41.21,0,0,0,0.57,0,6.8,0,0
 96-106,0,0,3.26,10.17,1.01,0,16.5,0.59,0,28.53,6.91,0,0,6.52,4.4,4.86,2.74,2.01,0.81,40.22,12.76,0,3.9,13.49,0,3.64,4.57,4.56,20.47,0,0,1.67,5.08,2.88,9.67,0,0
108-118,0,0,1.64,17.99,0,3.63,5.51,2.53,0,26.75,18.59,0,0.8,6.79,3.04,2.06,1.68,0.46,4.3,34.39,10.01,5.86,3.12,20.35,1.63,9.35,0.51,8.61,20.97,0,0,0,2.4,0,4.95,0,2.04
120,0,0,5.95,33.52,12.88,0,15.31,3.92,0,42.54,7.8,0,0,10.28,0,0,9.45,0,0,22.82,2.51,21.55,1.9,45.32,5.27,2.52,1.66,0,35.61,0,0,0,0,0,2.12,7.37,3.14
