stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,periderm,slow.muscle,spinal.cord,taste,vasculature
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,6.6,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,6.25,0,0,0,0,0,0
 84-94,0,0.91,0,0,0,0,0,0,5.02,0,0,256.34,0,0,0,12.89,0,0,0,0,0,0
 96-106,4.51,9.96,0.92,18.43,0,0.84,0,6.33,5.27,0.66,1.14,646.18,15.35,3.55,2.37,133.7,0,23.31,0,0,0,2.2
108-118,6.38,4.52,2.4,41.94,0,1.22,1.03,7.91,6.18,0.62,0,2152.04,10.36,0,0.93,95,3.04,9.49,0.49,4.19,0,0.85
120,0,0,0,17.81,12.08,0,0,0,0,0,0,807.97,1.73,0,3.15,46.21,0,1.78,0,0,2.83,0
