stage,eye,glial,mesenchyme,neural,spinal.cord,visceral.smooth.muscle
 24-34,0,0,0,7.47,1.97,0
 36-46,1.41,0,0,13.49,0,0
 48-58,2.08,3.71,0.41,26.37,6.73,0
 60-70,19.26,0,0,72.46,8.67,0
 72-82,29.88,1,0,162.46,12.16,0
 84-94,20.05,0.58,2.41,64.79,8.55,1.36
 96-106,17.94,0,0,42.19,4.19,0
108-118,26.42,0,0,66.86,0,0
120,3.79,0,0,101.72,0,0
